ensembl_transcript_id_version,cds_length,percentage_gene_gc_content,gene
ENST00000057513.8,978,37.14,TNIP3
ENST00000061240.7,3042,35.7,TLL1
ENST00000064571.3,606,44,CBLN4
ENST00000064780.7,1293,59.72,RELT
ENST00000066544.8,2475,38.66,CDC27
ENST00000072516.7,1713,37.94,IL1RAP
ENST00000072644.7,921,43.43,YIPF1
ENST00000072869.9,1881,50.77,ADCK2
ENST00000075120.12,1491,45.14,SLC2A3
ENST00000075503.8,1269,39.44,STYK1
ENST00000078429.9,1080,61.68,GNA11
ENST00000078445.7,1386,52.71,CREB3L3
ENST00000080059.12,2976,54.88,HDAC7
ENST00000081029.8,972,38.61,MRPS35
ENST00000083182.8,1758,39.71,APPBP2
ENST00000084798.9,987,53.77,CA11
ENST00000155674.9,1182,50.12,HDHD5
ENST00000156109.7,1431,50.86,GPKOW
ENST00000156471.10,4458,37.52,AQR
ENST00000156626.12,1803,48.61,ST6GALNAC1
ENST00000157600.8,1098,43.85,LMCD1
ENST00000157812.7,1257,49.94,PSMC4
ENST00000158009.6,975,48.33,FNDC8
ENST00000158762.8,2223,54.55,ACAP1
ENST00000158771.9,720,41.38,DERL2
ENST00000159060.3,1707,40.79,NOX3
ENST00000159087.7,3699,62.68,ANO8
ENST00000159111.9,3291,57.26,KDM4B
ENST00000160262.10,1644,55.88,ICAM3
ENST00000160373.8,4992,38.77,CTTNBP2
ENST00000160382.10,1281,53.08,ACTL6B
ENST00000161006.8,954,59.35,PRSS22
ENST00000161559.11,1581,47.52,CEACAM1
ENST00000161863.9,4293,34.67,YTHDC2
ENST00000162044.14,1440,51.6,TMEM161A
ENST00000162330.10,2613,59.7,BCAR1
ENST00000162391.8,1725,47.53,FOXJ2
ENST00000163416.7,2196,39.58,GOLGA5
ENST00000164024.5,9939,59.87,CELSR3
ENST00000164133.7,1494,54.41,PPP2R5B
ENST00000164139.4,2529,56.89,PYGM
ENST00000164227.10,1365,58.73,BCL3
ENST00000164305.10,1665,39.99,PIGB
ENST00000164640.8,2310,56.35,PDZD4
ENST00000165524.1,264,65.28,PRLH
ENST00000165698.9,606,46.05,REEP1
ENST00000166139.9,792,64.93,FSTL3
ENST00000166244.8,3018,56.84,EPHA8
ENST00000166345.8,1299,50.22,TRIP13
ENST00000167106.9,1098,55.57,VASH1
ENST00000167462.9,3048,56.06,LLGL2
ENST00000167586.7,1419,55.23,KRT14
ENST00000167588.4,1275,40.53,KRT20
ENST00000168712.3,621,55.25,FGF4
ENST00000169298.8,1221,44.4,ST6GAL1
ENST00000169551.11,747,42.28,TIMM21
ENST00000170150.4,1377,55.01,BPIFB2
ENST00000170168.9,3666,60.94,REXO1
ENST00000170447.12,1251,45.49,MKRN2
ENST00000170564.7,2796,45.71,GPATCH1
ENST00000171111.10,1875,54.06,KEAP1
ENST00000171757.3,1020,38.13,P2RY10
ENST00000172229.8,1284,56.75,NGFR
ENST00000173229.7,1815,49.77,NTN1
ENST00000173527.6,897,38.93,ISOC1
ENST00000173898.12,4296,51.41,TRO
ENST00000174618.5,1749,61.64,MNT
ENST00000175091.5,702,41.26,LAPTM4A
ENST00000175238.10,2265,36.76,ADAM7
ENST00000175756.10,1383,47.6,PTPN18
ENST00000176183.6,1260,67.07,DRD4
ENST00000176195.4,366,72.51,SCT
ENST00000176763.10,2907,48.99,STK10
ENST00000177694.2,1608,53.22,TBX21
ENST00000178638.8,1065,48.38,CA12
ENST00000178640.10,1347,39.55,MAP2K5
ENST00000179259.6,813,41.85,TIGAR
ENST00000180166.6,636,39.47,FGF20
ENST00000180173.10,1983,40.26,MTMR7
ENST00000181383.10,1272,39,CPB2
ENST00000181839.10,4539,38.73,CDK13
ENST00000182527.4,1113,46.66,TRAM2
ENST00000183605.10,786,42.94,CLDN18
ENST00000184266.3,390,39.34,NDUFB4
ENST00000185150.9,1452,39.57,ERLEC1
ENST00000186436.10,5652,39.3,TMEM131
ENST00000187397.8,2439,36.61,ARPP21
ENST00000187762.7,900,49.91,TMEM38A
ENST00000187879.12,1356,42.04,ZNF222
ENST00000188790.9,2283,36.7,FAP
ENST00000190165.3,1419,44.36,DMRT3
ENST00000190611.9,2805,39.34,OSBPL6
ENST00000192314.7,1197,49.25,GAL3ST2
ENST00000192788.6,4323,42.82,BLTP3A
ENST00000193322.8,1005,42.48,OSTM1
ENST00000193391.8,3726,37.6,IMPG2
ENST00000193403.10,2679,50.81,ACTN1
ENST00000194130.7,1788,35.73,SLC13A1
ENST00000194152.4,2388,45.69,PCDHB4
ENST00000194155.7,2397,48.32,PCDHB2
ENST00000194530.8,1257,38.23,STRADB
ENST00000196061.5,2184,53.54,PLOD1
ENST00000196371.10,1563,37.45,OXCT1
ENST00000196489.4,1785,48.61,ZNF416
ENST00000197268.13,1869,43.2,FAM234B
ENST00000198536.7,912,48.68,PILRA
ENST00000198801.10,1005,51.97,MOGAT2
ENST00000199320.9,942,37.8,DIMT1
ENST00000199389.11,1893,44.67,EIF2AK1
ENST00000199447.9,1767,37.47,NME8
ENST00000199708.3,429,71.71,HBQ1
ENST00000199764.7,1035,45.91,CEACAM6
ENST00000199814.9,1263,43.25,RBM22
ENST00000199936.9,1164,42.39,HSD17B2
ENST00000200135.8,2340,39.08,ZW10
ENST00000200181.8,5469,57.98,ITGB4
ENST00000200453.6,2025,56.78,PPP1R15A
ENST00000200457.9,1431,56.08,TRIP6
ENST00000200557.11,2310,59.33,ADAM11
ENST00000200652.4,1656,44.99,SLC22A4
ENST00000200676.8,1482,50.76,CETP
ENST00000201015.8,528,40.27,PTHLH
ENST00000201031.3,1353,48.95,TFAP2C
ENST00000201647.11,2172,58.26,EPS8L1
ENST00000201979.3,897,50.69,REM1
ENST00000202017.6,402,49.33,PDRG1
ENST00000202556.14,3273,44.49,PPP1R13B
ENST00000202625.7,2121,45.19,TGM6
ENST00000202677.12,5622,40.43,RALGAPA2
ENST00000202816.5,2556,37.99,ESF1
ENST00000202831.7,1755,49.93,SLC8B1
ENST00000202834.11,363,44.98,TMEM230
ENST00000202967.4,945,48.77,SIRT4
ENST00000203001.7,1494,42.59,TRMT6
ENST00000203166.10,1902,54.42,HAUS5
ENST00000203407.6,1443,53.04,UQCRC1
ENST00000203556.9,2913,56.13,GMIP
ENST00000203629.3,1578,57.37,LAG3
ENST00000203664.10,705,52.76,OTUB2
ENST00000204517.11,1017,56.39,TFAP4
ENST00000204549.9,1458,45.71,PDCD7
ENST00000204566.7,927,44.04,SPG21
ENST00000204679.9,918,55.84,GNPTG
ENST00000204961.5,1041,56.39,EFNB1
ENST00000205061.9,3612,42.38,GLG1
ENST00000205194.5,621,65.69,NAT14
ENST00000205214.11,3297,38.98,AASDH
ENST00000205402.10,1530,36.56,DLD
ENST00000205636.4,552,38.52,CMTM6
ENST00000205948.11,1038,42.88,APOH
ENST00000206020.8,684,51.59,SPAG7
ENST00000206262.2,633,37.44,RGS17
ENST00000206451.11,750,57.43,PSME1
ENST00000206474.11,1092,45.59,HAUS4
ENST00000206542.9,1008,45.08,OSGEP
ENST00000206595.11,2121,35.46,G2E3
ENST00000206765.11,2454,54.94,TGM1
ENST00000207157.7,1491,41.12,TBX15
ENST00000207457.8,1293,58.32,TEKT2
ENST00000207870.8,1611,44.83,XYLB
ENST00000209668.3,1128,35.59,ADH1A
ENST00000209728.9,1683,43.52,CDC6
ENST00000209873.9,1641,49.39,AAAS
ENST00000209875.9,576,42.96,CBX5
ENST00000209884.5,1830,38.33,KLHL20
ENST00000209929.10,1608,38.85,FMO2
ENST00000210060.12,1110,54.72,DHPS
ENST00000210187.11,771,58.26,RAB26
ENST00000210313.8,1515,40.53,PSMD5
ENST00000210444.6,1080,46.23,NANS
ENST00000211076.5,729,65.97,TPSD1
ENST00000211122.4,669,42.26,GSTA3
ENST00000211287.9,1098,53.28,MAPK13
ENST00000211314.5,300,41.72,TMEM14A
ENST00000211379.9,3381,52.36,BAG6
ENST00000211413.10,921,58.65,PRRT1
ENST00000211936.10,2256,38.79,ZNF184
ENST00000212015.11,2244,40.88,SIRT1
ENST00000212355.9,2556,42.29,TGFBR3
ENST00000214869.7,684,56.75,TMED1
ENST00000215061.9,795,58.66,OCEL1
ENST00000215095.11,867,55.21,STX1B
ENST00000215368.4,642,63.78,EFNA2
ENST00000215531.6,393,55.15,SMIM24
ENST00000215565.3,414,57.47,NDUFB7
ENST00000215570.8,288,63.97,TIMM13
ENST00000215574.9,711,64.64,CDC34
ENST00000215582.8,2040,56.63,MISP
ENST00000215631.9,483,60.24,GADD45B
ENST00000215637.8,1149,60.88,MADCAM1
ENST00000215659.13,1104,64.54,MAPK12
ENST00000215727.10,1500,46.49,SERPIND1
ENST00000215730.12,777,48.84,SNAP29
ENST00000215742.9,930,62.2,THAP7
ENST00000215743.8,1467,57.83,MMP11
ENST00000215754.8,348,69.82,MIF
ENST00000215770.6,405,51.49,DDTL
ENST00000215781.3,759,60.33,OSM
ENST00000215793.13,2382,49.02,SF3A1
ENST00000215794.8,1119,48.04,USP18
ENST00000215829.8,381,45.46,SNRPD3
ENST00000215838.8,1284,50.7,TCN2
ENST00000215855.7,636,52.09,CRYBB3
ENST00000215882.10,936,67.08,SLC25A1
ENST00000215885.4,1530,56.98,PLA2G3
ENST00000215886.6,399,50.79,LGALS2
ENST00000215904.7,891,55.3,PDXP
ENST00000215906.6,1110,49.47,ASPHD2
ENST00000215909.10,408,56.68,LGALS1
ENST00000215912.10,792,51.26,PIK3IP1
ENST00000215917.11,1020,45.15,SRRD
ENST00000215941.9,903,50.74,ANKRD54
ENST00000215957.10,2592,55.92,MICALL1
ENST00000215980.10,543,53.24,CENPM
ENST00000216014.9,645,49.55,KDELR3
ENST00000216024.7,1023,42.02,DMC1
ENST00000216027.8,708,46.7,HSCB
ENST00000216034.6,429,48.69,TOMM22
ENST00000216036.9,1047,55.52,RSPH14
ENST00000216038.6,1518,41.29,RTCB
ENST00000216039.9,609,47.81,JOSD1
ENST00000216044.10,2010,51.11,GTPBP1
ENST00000216068.9,318,51.3,DNAL4
ENST00000216075.11,858,63.88,MIOX
ENST00000216085.12,1161,55.98,RHBDD3
ENST00000216099.13,1161,54.3,APOBEC3D
ENST00000216101.7,612,60.13,RASL10A
ENST00000216106.6,1806,41.49,HMGXB4
ENST00000216115.3,483,54.79,BIK
ENST00000216117.9,867,51.11,HMOX1
ENST00000216121.12,855,50.22,NIPSNAP1
ENST00000216122.9,2205,52.45,MCM5
ENST00000216124.10,1530,61.2,ARSA
ENST00000216127.5,801,55.59,RASD2
ENST00000216129.7,1935,58.3,TTLL12
ENST00000216133.10,756,54.25,CBX7
ENST00000216139.10,1266,55.46,ACR
ENST00000216144.4,648,62.96,CABP7
ENST00000216146.9,1212,53.41,RPL3
ENST00000216160.11,1515,51.35,TAB1
ENST00000216180.8,1446,49.36,PNPLA3
ENST00000216185.7,501,51.29,TXN2
ENST00000216190.13,1647,46.83,EIF3D
ENST00000216200.9,333,51.49,PVALB
ENST00000216211.9,864,55.02,UPK3A
ENST00000216214.7,1074,49.58,FAM118A
ENST00000216218.8,1110,38.21,ST13
ENST00000216223.10,1656,53.89,IL2RB
ENST00000216225.9,327,44.92,RBX1
ENST00000216237.10,2118,52.38,L3MBTL2
ENST00000216241.14,2289,58.1,CHADL
ENST00000216252.4,333,46.22,PHF5A
ENST00000216254.9,2343,49.69,ACO2
ENST00000216259.8,789,54.81,PMM1
ENST00000216264.13,1614,51.43,CERK
ENST00000216268.6,3516,47.49,ZBED4
ENST00000216271.10,2010,64.5,HDAC10
ENST00000216274.10,1557,55.85,RIPK3
ENST00000216286.10,4128,43.19,NID2
ENST00000216294.5,1107,39.55,SNAPC1
ENST00000216297.7,3144,40.35,SUPT16H
ENST00000216330.7,675,40.63,FKBP3
ENST00000216336.3,768,53.71,CTSG
ENST00000216338.9,741,52.14,GZMH
ENST00000216341.9,744,52.9,GZMB
ENST00000216367.10,1584,41.33,POLE2
ENST00000216373.10,3999,38.28,SOS2
ENST00000216410.8,555,37.87,GNPNAT1
ENST00000216416.9,435,38.2,CNIH1
ENST00000216420.12,999,37.45,CGRRF1
ENST00000216442.12,744,38.54,ATP6V1D
ENST00000216446.9,1062,47.4,PLEK2
ENST00000216452.9,567,43.92,PIGH
ENST00000216455.9,768,40.28,PSMA3
ENST00000216465.10,651,54.28,GSTZ1
ENST00000216468.8,978,41.15,TMED8
ENST00000216479.8,1017,46.04,AHSA1
ENST00000216487.12,2958,49.34,RIN3
ENST00000216489.8,1170,42.35,ALKBH1
ENST00000216492.10,1374,56.29,CHGA
ENST00000216500.9,1020,39.65,DHRS7
ENST00000216513.5,2346,44.08,SIX4
ENST00000216540.5,1050,43.06,SLC10A1
ENST00000216554.8,1296,44.94,EIF5
ENST00000216629.11,1062,46.82,BDKRB1
ENST00000216639.8,1191,40.26,VRK1
ENST00000216733.8,1686,54.29,EFS
ENST00000216756.11,639,46.49,CINP
ENST00000216780.9,1923,49.2,PCK2
ENST00000216799.9,627,53.51,EMC9
ENST00000216802.10,720,52.29,PSME2
ENST00000216807.12,972,38.93,BRMS1L
ENST00000216832.9,2154,40.64,PNN
ENST00000216862.8,1545,43.37,CYP24A1
ENST00000216962.9,2532,52.16,PYGB
ENST00000216968.5,717,42.85,PROCR
ENST00000217026.5,2103,49.88,MYBL2
ENST00000217086.9,3162,48.04,SALL4
ENST00000217109.9,1296,41.14,CSTF1
ENST00000217131.6,912,53.07,CTSZ
ENST00000217159.6,2169,58.19,SLCO4A1
ENST00000217169.8,897,64.27,BIRC7
ENST00000217173.7,1626,47.04,UBOX5
ENST00000217182.6,1392,63.37,EEF1A2
ENST00000217246.8,1278,37.94,MACROD2
ENST00000217254.11,1410,51.37,SLC52A3
ENST00000217260.9,705,50.89,RSPO4
ENST00000217320.8,648,50.21,TLDC2
ENST00000217386.2,378,71.94,OXT
ENST00000217402.3,675,46.39,CHMP4B
ENST00000217407.3,1446,47.03,LBP
ENST00000217420.2,1578,60.73,SLC32A1
ENST00000217426.7,1299,50.38,AHCY
ENST00000217428.7,270,42.98,SPINT3
ENST00000217455.9,960,49.07,ACOT8
ENST00000217456.3,1251,46.35,APMAP
ENST00000217740.4,699,42.32,RNF125
ENST00000217901.10,1182,58.74,IDH3G
ENST00000217909.8,1026,45.23,SLC25A43
ENST00000217939.7,8487,43.18,MXRA5
ENST00000217958.8,681,37.71,PSMD10
ENST00000217971.8,588,42.58,PGRMC1
ENST00000217999.3,555,42.21,RHOXF1
ENST00000218006.3,3327,39.92,GUCY2F
ENST00000218068.7,309,38.06,PAGE4
ENST00000218075.9,1359,37.68,GLRA2
ENST00000218104.6,2238,58.35,ABCD1
ENST00000218147.11,5136,49.7,BCORL1
ENST00000218176.4,1944,53.58,KCND1
ENST00000218230.6,783,55.39,PCSK1N
ENST00000218249.7,837,56.66,RAB40AL
ENST00000218316.4,1854,56.27,GPR50
ENST00000218340.4,1053,39.26,RP2
ENST00000218348.7,2892,48.29,USP11
ENST00000218388.9,624,53.47,TIMP1
ENST00000218436.7,3942,44.09,ITIH6
ENST00000218721.1,1239,60.29,MLNR
ENST00000219022.3,1533,40.05,OLFM4
ENST00000219066.5,939,61.44,NTHL1
ENST00000219069.6,2052,47.36,ZNF263
ENST00000219070.9,1983,45.67,MMP2
ENST00000219097.7,759,44.16,ORC6
ENST00000219139.8,1269,47.87,PHAF1
ENST00000219162.4,189,48.57,MT4
ENST00000219169.9,384,51.11,NUTF2
ENST00000219197.11,582,56.88,CBLN1
ENST00000219204.8,492,44.84,ARL2BP
ENST00000219207.10,549,51.12,PLLP
ENST00000219235.5,282,51.15,CCL22
ENST00000219240.9,1188,50.04,DHODH
ENST00000219244.9,285,53.48,CCL17
ENST00000219252.10,828,47.97,POLR2C
ENST00000219271.4,2010,59.38,MMP15
ENST00000219299.8,1134,43.46,CCDC113
ENST00000219301.8,1188,45.92,PRSS54
ENST00000219313.9,975,43.43,PSMD7
ENST00000219320.9,1389,52.71,SLC38A7
ENST00000219334.10,1968,51.02,SMPD3
ENST00000219343.11,1548,47.81,SLC7A6
ENST00000219345.10,1239,53.91,PLA2G15
ENST00000219368.8,1119,50.89,FA2H
ENST00000219409.8,678,69.54,ARHGDIG
ENST00000219431.4,897,61.9,MPG
ENST00000219439.9,993,45.07,HSDL1
ENST00000219476.9,5424,59.93,TSC2
ENST00000219478.11,1443,54.32,ZNF500
ENST00000219479.7,564,58.71,NME4
ENST00000219481.10,879,56.9,DECR2
ENST00000219548.9,912,64.94,STUB1
ENST00000219599.8,945,43.21,CRYM
ENST00000219611.7,3261,65,CAPN15
ENST00000219660.6,786,50.27,AQP8
ENST00000219746.14,1731,38.66,TOX3
ENST00000219789.11,642,56.33,CDIPT
ENST00000219821.9,2283,45.06,TMC5
ENST00000219837.12,1377,51.83,KNOP1
ENST00000220058.9,1170,40,MTFMT
ENST00000220062.9,801,52.14,RASL12
ENST00000220244.7,4086,47.03,CEMIP
ENST00000220325.9,1626,47.1,EHD4
ENST00000220420.10,2163,46.32,TGM5
ENST00000220478.8,1407,40.04,SCG3
ENST00000220496.9,915,50.2,DNAJC17
ENST00000220507.5,711,61.95,RHOV
ENST00000220509.10,2922,53.56,VPS18
ENST00000220514.8,690,45.43,OIP5
ENST00000220562.9,2760,44.35,EXTL3
ENST00000220592.10,2580,51.18,AGO2
ENST00000220597.4,1299,40.56,PAG1
ENST00000220616.9,8307,45.9,TG
ENST00000220659.11,1260,49.8,BRF2
ENST00000220669.10,807,37.45,ZFAND1
ENST00000220751.5,1623,35.92,RIPK2
ENST00000220763.10,1419,38.13,CPQ
ENST00000220764.7,1008,38.07,DECR1
ENST00000220772.8,945,48.61,SFRP1
ENST00000220809.9,1689,48.7,PLAT
ENST00000220812.3,675,45.12,DKK4
ENST00000220822.12,1077,37.93,GDAP1
ENST00000220853.8,894,34.69,EMC2
ENST00000220913.10,396,47.59,CHRAC1
ENST00000220940.2,477,45.53,GML
ENST00000220966.10,861,60.13,PYCR3
ENST00000221086.8,1650,37.53,MTMR9
ENST00000221114.8,573,41.55,DCTN6
ENST00000221130.11,1569,44.66,GSR
ENST00000221132.8,1407,45.34,TNFRSF10A
ENST00000221138.9,930,41.95,PPP2CB
ENST00000221166.10,2751,48.49,NEFM
ENST00000221200.9,1170,37.3,KCTD9
ENST00000221232.11,2262,57.9,CNOT3
ENST00000221233.9,708,52.35,EXOSC5
ENST00000221249.10,3984,55.88,PNPLA6
ENST00000221265.8,1596,52.37,PAF1
ENST00000221283.10,1782,61.19,STXBP2
ENST00000221307.13,1563,45.74,CYP4F3
ENST00000221315.10,1959,41.15,ZNF432
ENST00000221327.8,2079,44.11,ZNF180
ENST00000221399.8,1563,51.24,TULP2
ENST00000221403.7,1005,52.54,DHDH
ENST00000221418.9,987,51.42,ECH1
ENST00000221452.13,1740,51.22,RELB
ENST00000221455.8,2025,54.01,CLASRP
ENST00000221459.7,624,58.86,LIN7B
ENST00000221462.9,2076,55.56,PPP1R37
ENST00000221466.10,1098,52.9,FCGRT
ENST00000221476.4,1146,53.01,CKM
ENST00000221480.6,726,53.44,PEX11G
ENST00000221485.8,1683,57.71,SLC17A7
ENST00000221494.10,1395,58.43,SF3A2
ENST00000221496.5,1683,71.68,AMH
ENST00000221498.7,729,50.25,DKKL1
ENST00000221515.6,327,62.83,RETN
ENST00000221538.8,2154,52.71,RSPH6A
ENST00000221543.10,1947,57.44,TBC1D17
ENST00000221566.7,942,57.8,SGTA
ENST00000221573.11,1005,64.13,SNAPC2
ENST00000221665.5,1491,57.1,FIZ1
ENST00000221671.8,1974,51.58,C19orf44
ENST00000221700.11,1563,46.11,CYP4F2
ENST00000221742.7,1695,46.49,SLC1A6
ENST00000221797.5,420,45.06,LGALS13
ENST00000221801.8,966,48.26,FBL
ENST00000221804.5,429,43.84,CLC
ENST00000221847.6,690,53.67,EBI3
ENST00000221855.8,735,55.29,TBCB
ENST00000221856.11,1491,54.72,FSD1
ENST00000221859.9,378,60.73,POLR2I
ENST00000221922.11,1596,56.53,CCDC9
ENST00000221930.6,1173,53.14,TGFB1
ENST00000221957.9,1305,52.34,PLIN3
ENST00000221973.7,648,49.18,LIM2
ENST00000221978.10,498,59.03,NKG7
ENST00000221980.5,2775,64.04,ICAM5
ENST00000222002.4,858,46.68,SULT2A1
ENST00000222005.7,1137,54.04,CDC37
ENST00000222008.11,558,61.23,RABAC1
ENST00000222032.10,339,58.25,CNFN
ENST00000222033.6,1290,64.93,ZNRF4
ENST00000222115.5,1737,49.53,HAS1
ENST00000222122.10,978,58.35,DBP
ENST00000222139.11,1527,57.06,EPOR
ENST00000222145.9,2892,53.6,RASIP1
ENST00000222214.10,1317,51.37,GCDH
ENST00000222219.8,1083,52.81,DNASE2
ENST00000222224.4,795,55.97,LENG1
ENST00000222247.10,531,58.25,RPL18A
ENST00000222248.4,1932,52.66,SLC5A5
ENST00000222249.13,1632,54.7,KCNN1
ENST00000222250.5,1224,58.01,ARRDC2
ENST00000222254.13,2187,57.71,PIK3R2
ENST00000222256.9,663,55.06,RAB3A
ENST00000222271.7,2274,62.85,COMP
ENST00000222284.10,675,58.54,TMEM147
ENST00000222286.9,1227,54.45,GAPDHS
ENST00000222305.8,1041,57.37,USF2
ENST00000222329.9,1647,64.05,ERF
ENST00000222330.8,1452,53.36,GSK3A
ENST00000222345.11,5346,49.76,SIPA1L3
ENST00000222374.3,1167,53.31,CADM4
ENST00000222381.8,1068,40.31,PON1
ENST00000222388.6,1905,49.13,ABCF2-H2BK1
ENST00000222390.11,2187,34.42,HGF
ENST00000222399.11,5361,42.41,LAMB1
ENST00000222402.8,444,45.79,UBE2D4
ENST00000222462.3,1098,38.61,WNT16
ENST00000222481.9,1260,44.64,CPA2
ENST00000222482.10,1266,46.73,CPA4
ENST00000222543.11,708,38.19,TFPI2
ENST00000222547.8,357,35.67,BET1
ENST00000222553.8,1476,37.11,NAMPT
ENST00000222567.6,1017,36.19,POLR1F
ENST00000222573.5,2310,37.44,ITGB8
ENST00000222584.8,2355,38.35,SP4
ENST00000222673.6,3072,46.23,OGDH
ENST00000222674.2,591,35.97,NPVF
ENST00000222693.5,489,37.86,CAV2
ENST00000222718.7,1131,50.02,HOXA2
ENST00000222725.10,1140,62.83,LFNG
ENST00000222726.4,813,53.38,HOXA5
ENST00000222728.3,702,53.82,HOXA6
ENST00000222747.8,918,37.17,TSPAN12
ENST00000222812.8,867,58.84,STX1A
ENST00000222823.9,2862,46.77,NOD1
ENST00000222982.8,1509,40.47,CYP3A5
ENST00000222990.8,1398,51.46,SNX8
ENST00000223023.5,1518,35.41,WASL
ENST00000223026.9,1446,39.21,HYAL4
ENST00000223029.8,963,46.93,AIMP2
ENST00000223054.8,708,57.23,MOSPD3
ENST00000223061.6,1350,60.83,PCOLCE
ENST00000223073.6,2280,43.22,RBM28
ENST00000223114.9,1026,54.66,MOGAT3
ENST00000223127.8,2217,58.5,PLOD3
ENST00000223129.8,366,37.19,RPA3
ENST00000223136.5,459,51.92,FIS1
ENST00000223145.10,1644,36.7,GLCCI1
ENST00000223208.10,1122,39.96,CEP41
ENST00000223210.5,3510,48.91,ZNF862
ENST00000223215.10,1008,44.95,MEST
ENST00000223271.8,492,62.31,RARRES2
ENST00000223273.7,681,40.07,YAE1
ENST00000223293.10,1014,44.17,GIMAP2
ENST00000223321.9,705,38.26,PSMA2
ENST00000223324.3,567,40.68,MRPL32
ENST00000223357.8,3477,62.7,AEBP1
ENST00000223364.7,528,61.44,MYL7
ENST00000223368.7,609,48.7,BCL7B
ENST00000223369.3,597,48.13,YKT6
ENST00000223500.9,660,41.65,CHMP5
ENST00000223528.6,1386,37.95,FKTN
ENST00000223641.5,291,42.24,SEC61B
ENST00000223862.2,558,38.95,RLN1
ENST00000223864.7,444,39.9,PLGRKT
ENST00000224073.6,447,57.83,EDF1
ENST00000224140.6,8034,41,SETX
ENST00000224356.5,1494,52.98,CYP26A1
ENST00000224721.12,10065,52.3,CDH23
ENST00000224756.12,2505,37.56,CCSER2
