"Gene Symbol","Gene Accession Id","Allele Symbol","Allele Accession Id","Background Strain Name","Background Strain Accession Id","Chromosome","Phenotyping Center","Colony Id","Breeding Strategy","Total # Pups","Total # Male Pups","Total # Female Pups","Total # Hom Males","Total # Hom Females","Total # Hem Males","Total # WT Males","Total # WT Females","Total # Het Males","Total # Het Females","Percentage HOMs / HEMs","Supporting Data","Viability Phenotype HOMs/HEMIs","Viability Call Method","Comment","Procedure Link"
"1700012B09Rik","MGI:1916575","1700012B09Rik<tm1.1(KOMP)Wtsi>","MGI:5613646","C57BL/6N","MGI:2159965","9","BCM","RICEB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","107","49","58","14","18","0","13","10","22","30","0.29906542056074764","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700016H13Rik","MGI:1921468","1700016H13Rik<em1(IMPC)Bay>","MGI:6257713","C57BL/6N","MGI:2159965","5","BCM","OSOOB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","118","79","39","18","12","0","22","6","39","21","0.2542372881355932","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700019D03Rik","MGI:1914330","1700019D03Rik<tm1.1(NCOM)Mfgc>","MGI:5766052","C57BL/6NCrl","MGI:2683688","1","TCP","TCPA0810Cre","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","124","58","66","11","12","0","17","15","30","39","0.18548387096774194","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700020N01Rik","MGI:1914942","1700020N01Rik<em1(IMPC)J>","MGI:6376209","C57BL/6NJ","MGI:3056279","10","JAX","JR34514","HetXHet","60","23","37","8","8","No information available","9","9","6","20","0.26666666666666666","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700025G04Rik","MGI:1916649","1700025G04Rik<em1(IMPC)Mbp>","MGI:6140113","C57BL/6NCrl","MGI:2683688","1","UC Davis","CR1393","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","247","127","120","33","32","0","33","36","61","52","0.2631578947368421","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700029F12Rik","MGI:1913729","1700029F12Rik<tm1b(EUCOMM)Hmgu>","MGI:5692659","C57BL/6N","MGI:2159965","13","BCM","RIKUB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","169","82","87","15","15","0","20","23","47","49","0.17751479289940827","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700029H14Rik","MGI:1913751","1700029H14Rik<tm2b(KOMP)Wtsi>","MGI:5637012","C57BL/6N","MGI:2159965","8","WTSI","MUGN","HetXHet","120","65","55","24","20","No information available","10","12","31","23","0.36666666666666664","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700030J22Rik","MGI:1916778","1700030J22Rik<em1(IMPC)J>","MGI:6362055","C57BL/6NJ","MGI:3056279","8","JAX","JR34358","HetXHet","41","22","19","4","3","No information available","5","2","13","14","0.17073170731707318","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700030K09Rik","MGI:1919504","1700030K09Rik<em1(IMPC)Bay>","MGI:7425476","C57BL/6N","MGI:2159965","8","BCM","STKCB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","196","89","107","19","29","0","19","26","51","52","0.24489795918367346","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700034E13Rik","MGI:1925664","1700034E13Rik<em1(IMPC)Mbp>","MGI:6140114","C57BL/6NCrl","MGI:2683688","18","UC Davis","CR1430","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","290","145","145","48","33","0","33","35","64","77","0.2793103448275862","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700034J05Rik","MGI:1920594","1700034J05Rik<tm1a(KOMP)Wtsi>","MGI:4849971","C57BL/6N","MGI:2159965","6","WTSI","MGFB","HetXHet","12","5","7","4","2","No information available","0","1","1","4","0.5","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700037C18Rik","MGI:1920511","1700037C18Rik<tm1b(KOMP)Mbp>","MGI:5708219","C57BL/6NCrl","MGI:2683688","16","UC Davis","BL5201","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","111","56","55","10","10","0","18","16","28","29","0.18018018018018017","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700067K01Rik","MGI:1920703","1700067K01Rik<tm2a(KOMP)Wtsi>","MGI:5289829","C57BL/6N","MGI:2159965","8","WTSI","MFLD","HetXHet","38","21","17","0","0","No information available","9","9","12","8","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700069L16Rik","MGI:1920726","1700069L16Rik<em1(IMPC)Mbp>","MGI:6140115","C57BL/6NCrl","MGI:2683688","5","UC Davis","CR1307","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","222","119","103","25","23","0","35","23","59","57","0.21621621621621623","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700086L19Rik","MGI:1921534","1700086L19Rik<tm1b(EUCOMM)Wtsi>","MGI:5692730","C57BL/6N","MGI:2159965","12","BCM","LLANB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","169","87","82","13","22","0","31","25","43","35","0.20710059171597633","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"1700088E04Rik","MGI:1920774","1700088E04Rik<tm1.1(KOMP)Vlcg>","MGI:5620909","C57BL/6NJ","MGI:3056279","15","JAX","JR26508","HetXHet","28","11","17","3","3","No information available","3","2","5","12","0.21428571428571427","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700093K21Rik","MGI:1914608","1700093K21Rik<em1(IMPC)J>","MGI:6278519","C57BL/6NJ","MGI:3056279","11","JAX","JR33307","HetXHet","124","77","47","18","16","No information available","17","11","42","20","0.27419354838709675","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1700123O20Rik","MGI:1920893","1700123O20Rik<tm1a(EUCOMM)Wtsi>","MGI:4434270","C57BL/6N","MGI:2159965","14","WTSI","MGBX","HetXHet","100","45","55","11","10","No information available","12","18","22","27","0.21","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"1810055G02Rik","MGI:1919306","1810055G02Rik<em1(IMPC)Hmgu>","MGI:6388367","C57BL/6NCrl","MGI:2683688","19","HMGU","HMGU_1810055g02rik_Crispr2_AADY-1","HetXHet","69","39","30","11","10","No information available","8","8","20","12","0.30434782608695654","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"2210408I21Rik","MGI:1919621","2210408I21Rik<tm1b(EUCOMM)Wtsi>","MGI:5692716","C57BL/6NCrl","MGI:2683688","13","UC Davis","TCPA0959Cre","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","33","17","16","3","4","0","5","6","9","6","0.21212121212121213","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2310039H08Rik","MGI:1914351","2310039H08Rik<em1(IMPC)Mbp>","MGI:6276884","C57BL/6NCrl","MGI:2683688","17","UC Davis","CR10257","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","136","55","81","11","14","0","12","26","32","41","0.18382352941176472","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2310061I04Rik","MGI:1916912","2310061I04Rik<em1(IMPC)Bay>","MGI:6404493","C57BL/6N","MGI:2159965","17","BCM","RKKSB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","283","139","144","8","11","0","43","40","88","93","0.06713780918727916","Homozygous - Subviable","subviable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2410004P03Rik","MGI:1920917","2410004P03Rik<em1(IMPC)J>","MGI:7346375","C57BL/6NJ","MGI:3056279","12","JAX","JR37796","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","40","16","24","4","5","0","4","4","8","15","0.225","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2510002D24Rik","MGI:1919557","2510002D24Rik<tm1.1(KOMP)Vlcg>","MGI:5583064","C57BL/6NCrl","MGI:2683688","16","UC Davis","BL3747","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","84","42","42","9","10","0","15","15","18","17","0.2261904761904762","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2510009E07Rik","MGI:1919440","2510009E07Rik<em1(IMPC)Ccpcz>","MGI:6147529","C57BL/6NCrl","MGI:2683688","16","CCP-IMG","CCP_DEL4_EM1_B6N_2510009E07Rik","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","36","18","18","5","4","0","3","4","10","10","0.25","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2610008E11Rik","MGI:1919378","2610008E11Rik<em1(IMPC)Mbp>","MGI:6316124","C57BL/6NCrl","MGI:2683688","10","UC Davis","CR10552","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","50","25","25","6","9","0","3","9","16","7","0.3","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2610318N02Rik","MGI:1917708","2610318N02Rik<tm1b(EUCOMM)Wtsi>","MGI:5548598","C57BL/6N","MGI:2159965","16","WTSI","MUBP","HetXHet","77","40","37","8","11","No information available","5","7","27","19","0.24675324675324675","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"2610509F24Rik","MGI:1917165","2610509F24Rik<tm1.1(NCC)WCS>","NOT-RELEASED-0fbf71992d","C57BL/6N","MGI:2159965","9","WTSI","TCAY","HetXHet","70","32","38","13","5","No information available","7","10","12","23","0.2571428571428571","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"2700054A10Rik","MGI:1919828","2700054A10Rik<em2(IMPC)Mbp>","MGI:5755102","C57BL/6NCrl","MGI:2683688","17","UC Davis","CR1035","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","103","50","53","14","17","0","19","10","17","26","0.30097087378640774","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2700097O09Rik","MGI:1919908","2700097O09Rik<tm1.1(KOMP)Vlcg>","MGI:5569054","C57BL/6NCrl","MGI:2683688","12","UC Davis","ET8306","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","217","102","115","9","15","0","47","41","46","59","0.11059907834101383","Homozygous - Subviable","subviable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"2810001G20Rik","MGI:1913706","2810001G20Rik<tm1.1(NCC)WCS>","NOT-RELEASED-74612fee7b","C57BL/6N","MGI:2159965","11","WTSI","TCAR","HetXHet","73","31","42","3","4","No information available","13","16","15","22","0.0958904109589041","Homozygous - Subviable","subviable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"3110082I17Rik","MGI:1920462","3110082I17Rik<tm1b(EUCOMM)Wtsi>","MGI:5700043","C57BL/6N","MGI:2159965","5","BCM","ZOOUB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","102","50","52","16","17","0","7","13","27","22","0.3235294117647059","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"3300002A11Rik","MGI:1919073","3300002A11Rik<tm1a(KOMP)Wtsi>","MGI:4887592","C57BL/6N","MGI:2159965","12","WTSI","MFBX","HetXHet","126","45","81","6","18","No information available","13","29","26","34","0.19047619047619047","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"3425401B19Rik","MGI:3588196","3425401B19Rik<em2(IMPC)Ccpcz>","MGI:6147530","C57BL/6NCrl","MGI:2683688","14","CCP-IMG","CCP-3425401B19Rik_DEL128_EM1_B6N","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","35","25","10","4","4","0","3","2","18","4","0.22857142857142856","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4833420G17Rik","MGI:1914642","4833420G17Rik<em1(IMPC)Mbp>","MGI:6140117","C57BL/6NCrl","MGI:2683688","13","UC Davis","CR1432","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","129","66","63","17","18","0","18","8","31","37","0.2713178294573643","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4921509C19Rik","MGI:2685851","4921509C19Rik<tm1.1(KOMP)Vlcg>","MGI:5523316","C57BL/6NJ","MGI:3056279","2","JAX","JR24333","HetXHet","88","45","43","14","10","No information available","11","16","20","17","0.2727272727272727","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4921536K21Rik","MGI:1914680","4921536K21Rik<tm1a(KOMP)Wtsi>","MGI:4363036","C57BL/6N","MGI:2159965","11","WTSI","MFCN","HetXHet","162","76","86","14","23","No information available","21","23","41","40","0.22839506172839505","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930404H24Rik","MGI:1925401","4930404H24Rik<tm1a(KOMP)Wtsi>","MGI:5050148","C57BL/6N","MGI:2159965","2","WTSI","MGZK","HetXHet","23","9","14","3","1","No information available","1","5","5","8","0.17391304347826086","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930447C04Rik","MGI:1923051","4930447C04Rik<em1(IMPC)Bay>","MGI:6257636","C57BL/6N","MGI:2159965","12","BCM","FRIKB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","278","147","131","32","23","0","47","36","68","72","0.19784172661870503","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4930449E01Rik","MGI:1922114","4930449E01Rik<tm1a(KOMP)Wtsi>","MGI:4841164","C57BL/6N","MGI:2159965","14","WTSI","MFCS","HetXHet","58","32","26","6","6","No information available","12","10","14","10","0.20689655172413793","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930451I11Rik","MGI:1925368","4930451I11Rik<tm1.1(KOMP)Wtsi>","MGI:5609355","C57BL/6N","MGI:2159965","7","BCM","KRINB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","119","52","67","14","10","0","13","29","25","28","0.20168067226890757","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4930505A04Rik","MGI:1922337","4930505A04Rik<tm1b(KOMP)Wtsi>","MGI:5581734","C57BL/6N","MGI:2159965","11","BCM","MAODB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","135","68","67","16","17","0","14","12","38","38","0.24444444444444444","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4930524B15Rik","MGI:1914842","4930524B15Rik<em1(IMPC)Mbp>","MGI:6140118","C57BL/6NCrl","MGI:2683688","11","UC Davis","CR1334","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","185","95","90","34","18","0","15","25","46","47","0.2810810810810811","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4930558K02Rik","MGI:1922618","4930558K02Rik<em1(IMPC)J>","MGI:6307020","C57BL/6NJ","MGI:3056279","1","JAX","JR33824","HetXHet","81","45","36","11","9","No information available","12","8","22","19","0.24691358024691357","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930563E22Rik","MGI:1922554","4930563E22Rik<tm1.1(KOMP)Vlcg>","MGI:5630071","C57BL/6NJ","MGI:3056279","11","JAX","JR26509","HetXHet","121","55","66","15","16","No information available","11","13","29","37","0.256198347107438","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930579F01Rik","MGI:1914991","4930579F01Rik<em1(IMPC)J>","MGI:6272669","C57BL/6NJ","MGI:3056279","3","JAX","JR33105","HetXHet","82","44","38","13","10","No information available","6","9","25","19","0.2804878048780488","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930590J08Rik","MGI:2685917","4930590J08Rik<tm1a(EUCOMM)Wtsi>","MGI:4882021","C57BL/6N","MGI:2159965","6","WTSI","MGRE","HetXHet","338","177","161","45","35","No information available","52","41","80","85","0.23668639053254437","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4930591A17Rik","MGI:1915425","4930591A17Rik<tm1a(KOMP)Wtsi>","MGI:4944391","C57BL/6N","MGI:2159965","2","WTSI","MFCL","HetXHet","57","29","28","7","8","No information available","12","2","10","18","0.2631578947368421","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4931406C07Rik","MGI:1918234","4931406C07Rik<tm1b(EUCOMM)Wtsi>","MGI:5637051","C57BL/6N","MGI:2159965","9","BCM","UDANB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","127","62","65","15","13","0","11","19","36","33","0.2204724409448819","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4931422A03Rik","MGI:1918236","4931422A03Rik<tm1b(EUCOMM)Wtsi>","MGI:5692703","C57BL/6N","MGI:2159965","2","BCM","FNTHB","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","134","65","69","12","24","0","22","10","31","35","0.26865671641791045","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4931429L15Rik","MGI:1921611","4931429L15Rik<tm1a(EUCOMM)Wtsi>","MGI:4460419","C57BL/6N","MGI:2159965","9","WTSI","MGNZ","HetXHet","186","98","88","26","15","No information available","29","25","43","48","0.22043010752688172","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4932438H23Rik","MGI:1921637","4932438H23Rik<tm1a(EUCOMM)Wtsi>","MGI:4433980","C57BL/6N","MGI:2159965","16","WTSI","MDUU","HetXHet","33","17","16","4","6","No information available","5","3","8","7","0.30303030303030304","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4933402J07Rik","MGI:3607717","4933402J07Rik<em1(IMPC)J>","MGI:6275630","C57BL/6NJ","MGI:3056279","8","JAX","JR33217","HetXHet","48","28","20","5","1","No information available","8","3","15","16","0.125","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4933402N03Rik","MGI:1914681","4933402N03Rik<tm2a(KOMP)Wtsi>","MGI:4820121","C57BL/6N","MGI:2159965","7","WTSI","MFAX","HetXHet","37","17","20","2","5","No information available","5","6","10","9","0.1891891891891892","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4933405L10Rik","MGI:1918296","4933405L10Rik<em1(IMPC)J>","MGI:7328446","C57BL/6NJ","MGI:3056279","8","JAX","JR37614","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","52","29","23","14","8","0","3","4","12","11","0.4230769230769231","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4933411K16Rik","MGI:1914015","4933411K16Rik<em1(IMPC)J>","MGI:6740198","C57BL/6NJ","MGI:3056279","19","JAX","JR36700","HetXHet","68","33","35","8","11","No information available","8","9","17","15","0.27941176470588236","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4933427D14Rik","MGI:1921727","4933427D14Rik<tm1.1(KOMP)Vlcg>","MGI:5515778","C57BL/6NJ","MGI:3056279","11","JAX","JR24041","HetXHet","93","50","43","0","0","No information available","12","13","38","30","0.0","Homozygous - Lethal","lethal","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
"4933428G20Rik","MGI:1918475","4933428G20Rik<tm1.1(KOMP)Vlcg>","MGI:5695921","C57BL/6NCrl","MGI:2683688","11","UC Davis","BL4997","Female parents genotype = Heterozygous X Male parents genotype = Heterozygous","93","38","55","7","9","0","12","18","19","28","0.17204301075268819","Homozygous - Viable","viable","computed","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=1188&pipeID=7"
"4933430I17Rik","MGI:3045314","4933430I17Rik<tm1a(EUCOMM)Wtsi>","MGI:4432117","C57BL/6N","MGI:2159965","4","ICS","IP00004326a","HetXHet","53","29","24","4","6","No information available","8","4","17","14","0.18867924528301888","Homozygous - Viable","viable","curated","","https://www.mousephenotype.org/impress/ProcedureInfo?action=list&procID=703&pipeID=7"
