tx_name,seqnames,start,end,width,strand,tx_id,exon_rank,phast,gene_symbol,transcript
ENST00000011619.6,chr6,13621498,13711835,90338,-,86110,13,0.174319776838098,RANBP9,ENST00000011619
ENST00000011684.11,chr12,6310436,6328505,18070,+,147244,5,0.139501936912009,PLEKHG6,ENST00000011684
ENST00000012049.10,chr19,45692666,45703987,11322,+,219912,7,0.129296944002826,QPCTL,ENST00000012049
ENST00000013070.11,chr14,93207256,93229215,21960,+,169012,6,0.175291438979963,UBR7,ENST00000013070
ENST00000014930.9,chr12,12974870,13000265,25396,-,154926,4,0.0872932745314223,HEBP1,ENST00000014930
ENST00000016913.8,chr11,60492778,60507430,14653,+,134983,7,0.0674264655701904,MS4A12,ENST00000016913
ENST00000017003.7,chr17,50346126,50361185,15060,+,199528,8,0.266560424966799,XYLT2,ENST00000017003
ENST00000019317.8,chr18,9475009,9538114,63106,+,210310,8,0.161797610369854,RALBP1,ENST00000019317
ENST00000020926.8,chr11,45240302,45286341,46040,-,141756,2,0.0799500434404862,SYT13,ENST00000020926
ENST00000020945.4,chr8,48917598,48921429,3832,-,110567,3,0.510360125260961,SNAI2,ENST00000020945
ENST00000022615.9,chr8,42391880,42405937,14058,+,105623,10,0.240695689287239,VDAC3,ENST00000022615
ENST00000023064.9,chr19,32830511,32869767,39257,-,225230,5,0.115001146292381,SLC7A9,ENST00000023064
ENST00000024061.7,chr8,141210601,141228574,17974,-,113536,5,0.134722376766441,SLC45A4,ENST00000024061
ENST00000025008.10,chr8,52622458,52714435,91978,-,110624,14,0.134924655895975,RB1CC1,ENST00000025008
ENST00000025301.4,chr13,42272152,42323261,51110,+,161314,12,0.220446096654276,AKAP11,ENST00000025301
ENST00000029410.10,chr5,177600132,177610330,10199,+,73728,2,0.137484067065398,B4GALT7,ENST00000029410
ENST00000033079.7,chr5,137937960,138033031,95072,-,77710,20,0.213444547290474,FAM13B,ENST00000033079
ENST00000037243.7,chr16,75566379,75577881,11503,+,188819,2,0.209554029383639,GABARAPL2,ENST00000037243
ENST00000037502.11,chr1,171635417,171652688,17272,-,19762,1,0.10077582213988,MYOC,ENST00000037502
ENST00000038176.8,chr8,58583508,58659853,76346,-,110839,16,0.149617530715428,NSMAF,ENST00000038176
ENST00000039007.5,chrX,38352604,38421446,68843,+,244435,6,0.194089449907762,OTC,ENST00000039007
ENST00000040584.6,chr12,54008985,54012769,3785,+,149832,2,0.674953764861296,HOXC8,ENST00000040584
ENST00000040663.8,chr19,13764522,13774282,9761,+,216453,3,0.0993033500665915,MRI1,ENST00000040663
ENST00000040738.10,chr4,13568738,13627725,58988,-,63284,11,0.177327592052622,BOD1L1,ENST00000040738
ENST00000042381.9,chr16,67528829,67546786,17958,+,188073,10,0.280420982292015,RIPOR1,ENST00000042381
ENST00000043402.8,chr22,20241415,20268318,26904,-,241508,1,0.104244721974428,RTN4R,ENST00000043402
ENST00000044462.12,chr15,78540444,78552417,11974,+,177866,2,0.165458493402372,PSMA4,ENST00000044462
ENST00000045083.6,chr20,50586112,50636889,50778,-,234490,16,0.0666765134507069,RIPOR3,ENST00000045083
ENST00000046794.10,chr5,170246233,170297777,51545,-,78896,21,0.0796081094189541,LCP2,ENST00000046794
ENST00000052569.10,chr6,117560269,117602528,42260,-,89903,5,0.202158069096073,GOPC,ENST00000052569
ENST00000053243.6,chr16,11965210,11968068,2859,+,185018,3,0.183140958377055,TNFRSF17,ENST00000053243
ENST00000053468.4,chr6,42206807,42217861,11055,-,87838,2,0.154889190411579,MRPS10,ENST00000053468
ENST00000053867.8,chr17,44345302,44353106,7805,+,198755,8,0.192261370916079,GRN,ENST00000053867
ENST00000054666.11,chr1,7771296,7781432,10137,+,661,5,0.14963993291901,VAMP3,ENST00000054666
ENST00000054668.5,chr1,7847766,7853431,5666,-,12415,3,0.0838863395693611,UTS2,ENST00000054668
ENST00000055077.8,chr7,74231502,74254399,22898,-,100247,3,0.0888068826971787,RFC2,ENST00000055077
ENST00000055335.11,chrX,49269793,49288090,18298,+,245038,1,0.342327030276533,PPP1R3F,ENST00000055335
ENST00000056217.10,chr7,144355402,144380632,25231,+,97102,3,0.137426182077603,ARHGEF5,ENST00000056217
ENST00000056233.4,chr7,26152198,26187137,34940,+,92476,1,0.138703491700057,NFE2L3,ENST00000056233
ENST00000057513.8,chr4,121131408,121164321,32914,-,65972,8,0.13459925867412,TNIP3,ENST00000057513
ENST00000064571.3,chr20,55997357,56005519,8163,-,234601,3,0.324843807423742,CBLN4,ENST00000064571
ENST00000064780.7,chr11,73376399,73397474,21076,+,136903,2,0.143798633516796,RELT,ENST00000064780
ENST00000066544.8,chr17,47117703,47189295,71593,-,206773,6,0.211964856899419,CDC27,ENST00000066544
ENST00000072644.7,chr1,53851733,53889797,38065,-,15274,8,0.139876526993302,YIPF1,ENST00000072644
ENST00000072869.9,chr7,140672945,140695110,22166,+,96781,2,0.137228187313904,ADCK2,ENST00000072869
ENST00000075120.12,chr12,7919230,7936187,16958,-,154556,10,0.135163344734049,SLC2A3,ENST00000075120
ENST00000078429.9,chr19,3094362,3123999,29638,+,215130,1,0.0635771644510424,GNA11,ENST00000078429
ENST00000078445.7,chr19,4153631,4173054,19424,+,215235,7,0.0484143327841845,CREB3L3,ENST00000078445
ENST00000080059.12,chr12,47782722,47819903,37182,-,156011,17,0.202901941799796,HDAC7,ENST00000080059
ENST00000083182.8,chr17,60443158,60526242,83085,-,207589,10,0.184261900463382,APPBP2,ENST00000083182
ENST00000084798.9,chr19,48637946,48646187,8242,-,227425,8,0.227335598155788,CA11,ENST00000084798
ENST00000156109.7,chrX,49113407,49123735,10329,-,249079,8,0.219692128957304,GPKOW,ENST00000156109
ENST00000156626.12,chr17,76624763,76643757,18995,-,208954,9,0.0854435377730982,ST6GALNAC1,ENST00000156626
ENST00000157600.8,chr3,8501823,8574668,72846,+,41556,1,0.11259506355874,LMCD1,ENST00000157600
ENST00000157812.7,chr19,39971165,39981764,10600,+,219087,2,0.196962264150943,PSMC4,ENST00000157812
ENST00000158009.6,chr17,35121615,35130732,9118,+,197823,4,0.139635885062514,FNDC8,ENST00000158009
ENST00000158762.8,chr17,7336529,7351477,14949,+,195843,22,0.216850625459897,ACAP1,ENST00000158762
ENST00000158771.9,chr17,5471254,5486178,14925,-,202923,7,0.205762144053601,DERL2,ENST00000158771
ENST00000159060.3,chr6,155395368,155455839,60472,-,91119,8,0.192171583542797,NOX3,ENST00000159060
ENST00000159087.7,chr19,17323223,17334855,11633,-,224448,8,0.330078225737128,ANO8,ENST00000159087
ENST00000159111.9,chr19,4969113,5153598,184486,+,215371,10,0.039198638379064,KDM4B,ENST00000159111
ENST00000160262.10,chr19,10333776,10339624,5849,-,223346,4,0.0439562318345016,ICAM3,ENST00000160262
ENST00000160382.10,chr7,100643097,100656448,13352,-,101578,12,0.200464349910126,ACTL6B,ENST00000160382
ENST00000161006.8,chr16,2852730,2858170,5441,-,190469,2,0.130637750413527,PRSS22,ENST00000161006
ENST00000161559.11,chr19,42507306,42528481,21176,-,226558,5,0.132574612769172,CEACAM1,ENST00000161559
ENST00000162044.14,chr19,19119169,19138478,19310,-,224643,2,0.148596582081823,TMEM161A,ENST00000162044
ENST00000162330.10,chr16,75228181,75251624,23444,-,194283,5,0.123886708752773,BCAR1,ENST00000162330
ENST00000162391.8,chr12,8032716,8055517,22802,+,147580,10,0.231874396982721,FOXJ2,ENST00000162391
ENST00000164024.5,chr3,48636463,48662886,26424,-,51512,25,0.425995307296397,CELSR3,ENST00000164024
ENST00000164139.4,chr11,64746398,64759974,13577,-,143106,6,0.243617883184798,PYGM,ENST00000164139
ENST00000164227.10,chr19,44748708,44760044,11337,+,219717,6,0.197380259327865,BCL3,ENST00000164227
ENST00000164305.10,chr15,55319222,55355648,36427,+,176566,2,0.180810936942377,PIGB,ENST00000164305
ENST00000164640.8,chrX,153802166,153830490,28325,-,251475,8,0.138909090909091,PDZD4,ENST00000164640
ENST00000165524.1,chr2,237566574,237567175,602,+,31512,1,0.193687707641196,PRLH,ENST00000165524
ENST00000166139.9,chr19,676392,683385,6994,+,214656,4,0.165284529596797,FSTL3,ENST00000166139
ENST00000166244.8,chr1,22563489,22603595,40107,+,1529,2,0.135003864662029,EPHA8,ENST00000166244
ENST00000166345.8,chr5,892884,918120,25237,+,67729,6,0.0555295795855291,TRIP13,ENST00000166345
ENST00000167106.9,chr14,76761468,76783015,21548,+,168431,6,0.12120382402079,VASH1,ENST00000167106
ENST00000167586.7,chr17,41582279,41586895,4617,-,205721,3,0.347498375568551,KRT14,ENST00000167586
ENST00000167588.4,chr17,40875889,40885242,9354,-,205635,4,0.135353859311524,KRT20,ENST00000167588
ENST00000168712.3,chr11,69771022,69775341,4320,-,143875,3,0.347754629629629,FGF4,ENST00000168712
ENST00000169298.8,chr3,186930526,187078553,148028,+,48961,8,0.0920211041154378,ST6GAL1,ENST00000169298
ENST00000169551.11,chr18,74148523,74160531,12009,+,212043,3,0.101065867266217,TIMM21,ENST00000169551
ENST00000170150.4,chr20,33007704,33023703,16000,+,230161,16,0.06939375,BPIFB2,ENST00000170150
ENST00000170168.9,chr19,1815248,1848483,33236,-,222208,11,0.0793838006980382,REXO1,ENST00000170168
ENST00000170447.12,chr3,12557087,12583713,26627,+,42125,6,0.142092612761483,MKRN2,ENST00000170447
ENST00000170564.7,chr19,33081181,33130542,49362,+,218014,10,0.105800008103399,GPATCH1,ENST00000170564
ENST00000171111.10,chr19,10486125,10503356,17232,-,223405,6,0.149738857938719,KEAP1,ENST00000171111
ENST00000171757.3,chrX,78945391,78963727,18337,+,245940,4,0.100032720728581,P2RY10,ENST00000171757
ENST00000172229.8,chr17,49495293,49515008,19716,+,199405,2,0.215337796713329,NGFR,ENST00000172229
ENST00000173229.7,chr17,9021510,9244000,222491,+,196202,5,0.111944752821462,NTN1,ENST00000173229
ENST00000173527.6,chr5,129094749,129114028,19280,+,71359,1,0.126161825726141,ISOC1,ENST00000173527
ENST00000173898.12,chrX,54920824,54931431,10608,+,245243,11,0.338980015082956,TRO,ENST00000173898
ENST00000174618.5,chr17,2384073,2401060,16988,-,202555,1,0.264321874264186,MNT,ENST00000174618
ENST00000175238.10,chr8,24441026,24509565,68540,+,104822,14,0.0806944849722791,ADAM7,ENST00000175238
ENST00000175756.10,chr2,130356056,130375405,19350,+,27376,4,0.124041343669251,PTPN18,ENST00000175756
ENST00000176183.6,chr11,637269,640706,3438,+,132126,3,0.240692262943572,DRD4,ENST00000176183
ENST00000176195.4,chr11,626309,627181,873,-,139656,4,0.141809851088202,SCT,ENST00000176195
ENST00000177694.2,chr17,47733236,47746122,12887,+,199163,6,0.217366338170249,TBX21,ENST00000177694
ENST00000178638.8,chr15,63321378,63381846,60469,-,181178,5,0.0833551075757823,CA12,ENST00000178638
ENST00000179259.6,chr12,4321213,4360028,38816,+,147126,3,0.136456615828524,TIGAR,ENST00000179259
ENST00000180166.6,chr8,16992181,17002345,10165,-,109486,1,0.251244466305952,FGF20,ENST00000180166
ENST00000181383.10,chr13,46053186,46105033,51848,-,163993,6,0.0974540965900324,CPB2,ENST00000181383
ENST00000181839.10,chr7,39950256,40099580,149325,+,93123,4,0.170915118031141,CDK13,ENST00000181839
ENST00000182527.4,chr6,52497408,52577060,79653,-,88119,11,0.120183797220444,TRAM2,ENST00000182527
ENST00000184266.3,chr3,120596336,120602507,6172,+,45872,3,0.176539209332469,NDUFB4,ENST00000184266
ENST00000185150.9,chr2,53787044,53818796,31753,+,24353,12,0.205013699492962,ERLEC1,ENST00000185150
ENST00000187397.8,chr3,35642165,35794496,152332,+,42831,4,0.146838484363101,ARPP21,ENST00000187397
ENST00000187762.7,chr19,16661139,16690023,28885,+,216852,1,0.0780024234031504,TMEM38A,ENST00000187762
ENST00000187879.12,chr19,44025363,44033110,7748,+,219618,4,0.0491094475993805,ZNF222,ENST00000187879
ENST00000188790.9,chr2,162170684,162243445,72762,-,38101,24,0.232595310739123,FAP,ENST00000188790
ENST00000190165.3,chr9,976655,991732,15078,+,114172,2,0.206910730866162,DMRT3,ENST00000190165
ENST00000190611.9,chr2,178194512,178402893,208382,+,28916,19,0.142797362536111,OSBPL6,ENST00000190611
ENST00000193322.8,chr6,108041409,108074741,33333,-,89580,6,0.183670836708366,OSTM1,ENST00000193322
ENST00000193391.8,chr3,101222546,101320575,98030,-,53216,2,0.150496786697951,IMPG2,ENST00000193391
ENST00000193403.10,chr14,68874143,68979440,105298,-,172640,14,0.110218617637563,ACTN1,ENST00000193403
ENST00000194152.4,chr5,141121818,141125623,3806,+,72092,1,0.374750394114556,PCDHB4,ENST00000194152
ENST00000194155.7,chr5,141094615,141098703,4089,+,72084,1,0.309219858156028,PCDHB2,ENST00000194155
ENST00000194530.8,chr2,201451740,201480846,29107,+,29751,12,0.222510049129075,STRADB,ENST00000194530
ENST00000196061.5,chr1,11934717,11975537,40821,+,957,2,0.0918228362852455,PLOD1,ENST00000196061
ENST00000196489.4,chr19,57571566,57578911,7346,-,228844,2,0.0567383610127961,ZNF416,ENST00000196489
ENST00000197268.13,chr12,13044381,13083449,39069,+,147955,13,0.139719470680079,FAM234B,ENST00000197268
ENST00000198536.7,chr7,100373487,100400096,26610,+,95250,6,0.0751371664787673,PILRA,ENST00000198536
ENST00000198801.10,chr11,75717838,75732953,15116,+,137097,1,0.0841690923524743,MOGAT2,ENST00000198801
ENST00000199320.9,chr5,62387254,62403905,16652,-,75503,8,0.220381936103771,DIMT1,ENST00000199320
ENST00000199389.11,chr7,6022247,6059175,36929,-,98068,4,0.137526063527309,EIF2AK1,ENST00000199389
ENST00000199447.9,chr7,37848597,37900397,51801,+,93031,10,0.0789328391343794,NME8,ENST00000199447
ENST00000199708.3,chr16,180459,181179,721,+,183622,3,0.116504854368932,HBQ1,ENST00000199708
ENST00000199814.9,chr5,150690792,150701062,10271,-,78466,3,0.285814428974783,RBM22,ENST00000199814
ENST00000200181.8,chr17,75721459,75757818,36360,+,201096,29,0.168652365236524,ITGB4,ENST00000200181
ENST00000200453.6,chr19,48872421,48876058,3638,+,220228,2,0.188702583837273,PPP1R15A,ENST00000200453
ENST00000200457.9,chr7,100867387,100873454,6068,+,95354,3,0.243836519446276,TRIP6,ENST00000200457
ENST00000200557.11,chr17,44758988,44781846,22859,+,198785,5,0.230381906470099,ADAM11,ENST00000200557
ENST00000200652.4,chr5,132294394,132344190,49797,+,71411,4,0.139751390646023,SLC22A4,ENST00000200652
ENST00000200676.8,chr16,56961950,56983845,21896,+,187403,8,0.0633266350018269,CETP,ENST00000200676
ENST00000201015.8,chr12,27962322,27971983,9662,-,155428,4,0.299658455806251,PTHLH,ENST00000201015
ENST00000201031.3,chr20,56629306,56639283,9978,+,231476,3,0.273331328923632,TFAP2C,ENST00000201031
ENST00000201647.11,chr19,55075869,55087923,12055,+,221340,8,0.172666943177105,EPS8L1,ENST00000201647
ENST00000201979.3,chr20,31475288,31484895,9608,+,230011,2,0.184096586178185,REM1,ENST00000201979
ENST00000202017.6,chr20,31944337,31952046,7710,-,233411,2,0.120583657587549,PDRG1,ENST00000202017
ENST00000202556.14,chr14,103733195,103847575,114381,-,174145,11,0.120029550362386,PPP1R13B,ENST00000202556
ENST00000202625.7,chr20,2380901,2432753,51853,+,229117,13,0.13149287408636,TGM6,ENST00000202625
ENST00000202677.12,chr20,20389530,20712644,323115,-,232911,22,0.156469059003757,RALGAPA2,ENST00000202677
ENST00000202831.7,chr12,113298767,113335120,36354,-,159425,2,0.0806651262584585,SLC8B1,ENST00000202831
ENST00000202834.11,chr20,5099840,5113103,13264,-,232509,3,0.134763268998794,TMEM230,ENST00000202834
ENST00000202967.4,chr12,120302321,120313249,10929,+,152954,4,0.127806752676366,SIRT4,ENST00000202967
ENST00000203001.7,chr20,5937228,5950533,13306,-,232597,3,0.194791823237637,TRMT6,ENST00000203001
ENST00000203166.10,chr19,35612735,35625355,12621,+,218371,16,0.143704936217415,HAUS5,ENST00000203166
ENST00000203407.6,chr3,48599002,48609646,10645,-,51479,13,0.181493658994833,UQCRC1,ENST00000203407
ENST00000203556.9,chr19,19629476,19643657,14182,-,224727,16,0.223431109857566,GMIP,ENST00000203556
ENST00000203629.3,chr12,6772520,6778455,5936,+,147348,7,0.216408355795148,LAG3,ENST00000203629
ENST00000203664.10,chr14,94026340,94048930,22591,+,169042,3,0.0763666947014298,OTUB2,ENST00000203664
ENST00000204517.11,chr16,4257186,4273023,15838,-,190724,7,0.195018310392726,TFAP4,ENST00000204517
ENST00000204566.7,chr15,64963022,64989914,26893,-,181312,4,0.167921020339865,SPG21,ENST00000204566
ENST00000204679.9,chr16,1351931,1364113,12183,+,183983,6,0.0712386111795125,GNPTG,ENST00000204679
ENST00000204961.5,chrX,68829021,68842160,13140,+,245424,4,0.445334855403348,EFNB1,ENST00000204961
ENST00000205194.5,chr19,55485188,55487566,2379,+,221398,2,0.250777637662884,NAT14,ENST00000205194
ENST00000205402.10,chr7,107891183,107921198,30016,+,95761,10,0.201579157782516,DLD,ENST00000205402
ENST00000205636.4,chr3,32481312,32502852,21541,-,50612,4,0.136386425885521,CMTM6,ENST00000205636
ENST00000205948.11,chr17,66212033,66229415,17383,-,208089,5,0.0941437036184778,APOH,ENST00000205948
ENST00000206020.8,chr17,4959226,4967817,8592,-,202817,3,0.187523277467411,SPAG7,ENST00000206020
ENST00000206262.2,chr6,153004459,153131282,126824,-,91079,3,0.150346937488173,RGS17,ENST00000206262
ENST00000206451.11,chr14,24136194,24138962,2769,+,165946,3,0.450415312387143,PSME1,ENST00000206451
ENST00000206474.11,chr14,22946228,22957154,10927,-,170849,8,0.250160153747597,HAUS4,ENST00000206474
ENST00000206542.9,chr14,20446401,20454812,8412,-,170451,6,0.168747028055159,OSGEP,ENST00000206542
ENST00000206595.11,chr14,30559158,30620064,60907,+,166300,2,0.189469190733414,G2E3,ENST00000206595
ENST00000206765.11,chr14,24249114,24263177,14064,-,171206,3,0.258418657565415,TGM1,ENST00000206765
ENST00000207457.8,chr1,36084094,36088275,4182,+,2616,5,0.290650406504065,TEKT2,ENST00000207457
ENST00000209668.3,chr4,99276369,99290985,14617,-,65328,6,0.0562222070192242,ADH1A,ENST00000209668
ENST00000209728.9,chr17,40287879,40304657,16779,+,198303,2,0.334501460158532,CDC6,ENST00000209728
ENST00000209873.9,chr12,53307460,53321610,14151,-,156777,13,0.178934350929263,AAAS,ENST00000209873
ENST00000209875.9,chr12,54230942,54280122,49181,-,156915,2,0.251035969175089,CBX5,ENST00000209875
ENST00000209884.5,chr1,173714981,173786692,71712,+,8754,8,0.245190484158858,KLHL20,ENST00000209884
ENST00000209929.10,chr1,171185300,171212686,27387,+,8666,5,0.113539270456786,FMO2,ENST00000209929
ENST00000210060.12,chr19,12675717,12681880,6164,-,223739,7,0.182592472420506,DHPS,ENST00000210060
ENST00000210187.11,chr16,2148625,2154165,5541,+,184206,8,0.166576430247248,RAB26,ENST00000210187
ENST00000210313.8,chr9,120816053,120842922,26870,-,121649,3,0.168020096762188,PSMD5,ENST00000210313
ENST00000210444.6,chr9,98056732,98083077,26346,+,116420,1,0.148064222272831,NANS,ENST00000210444
ENST00000211076.5,chr16,1256069,1259008,2940,+,183931,1,0.0500680272108843,TPSD1,ENST00000211076
ENST00000211287.9,chr6,36130513,36144521,14009,+,81962,12,0.130965807695053,MAPK13,ENST00000211287
ENST00000211314.5,chr6,52671113,52686588,15476,+,82658,4,0.103780046523649,TMEM14A,ENST00000211314
ENST00000211379.9,chr6,31639028,31652705,13678,-,86888,23,0.348669396110542,BAG6,ENST00000211379
ENST00000211413.10,chr6,32148363,32151939,3577,-,87087,4,0.385127201565558,PRRT1,ENST00000211413
ENST00000211936.10,chr6,27450743,27473118,22376,-,86435,5,0.239667500893815,ZNF184,ENST00000211936
ENST00000212015.11,chr10,67884656,67918390,33735,+,124653,5,0.214957759004001,SIRT1,ENST00000212015
ENST00000212355.9,chr1,91680343,91886151,205809,-,16383,7,0.169943005407927,TGFBR3,ENST00000212355
ENST00000214869.7,chr19,10832067,10836212,4146,-,223450,1,0.233671008200675,TMED1,ENST00000214869
ENST00000215061.9,chr19,17226226,17229219,2994,+,216919,3,0.117401469605878,OCEL1,ENST00000215061
ENST00000215095.11,chr16,30989256,31010638,21383,-,192339,2,0.212173221718187,STX1B,ENST00000215095
ENST00000215368.4,chr19,1285873,1301431,15559,+,214886,2,0.10339996143711,EFNA2,ENST00000215368
ENST00000215531.6,chr19,3473986,3480525,6540,-,222414,1,0.0340519877675841,SMIM24,ENST00000215531
ENST00000215565.3,chr19,14566078,14572066,5989,-,224102,3,0.0893805309734514,NDUFB7,ENST00000215565
ENST00000215570.8,chr19,2425625,2427586,1962,-,222317,3,0.233384301732926,TIMM13,ENST00000215570
ENST00000215582.8,chr19,751112,764318,13207,+,214675,3,0.0329825092753843,MISP,ENST00000215582
ENST00000215631.9,chr19,2476127,2478257,2131,+,215079,2,0.359455654622243,GADD45B,ENST00000215631
ENST00000215637.8,chr19,496486,505343,8858,+,214616,4,0.0396590652517498,MADCAM1,ENST00000215637
ENST00000215659.13,chr22,50252901,50261683,8783,-,243490,7,0.136365706478424,MAPK12,ENST00000215659
ENST00000215727.10,chr22,20774113,20787720,13608,+,238745,3,0.146862139917695,SERPIND1,ENST00000215727
ENST00000215730.12,chr22,20859007,20891214,32208,+,238747,1,0.0770088176850473,SNAP29,ENST00000215730
ENST00000215742.9,chr22,20999104,21002118,3015,-,241570,3,0.326334991708126,THAP7,ENST00000215742
ENST00000215743.8,chr22,23772849,23784316,11468,+,239128,8,0.158449598883851,MMP11,ENST00000215743
ENST00000215754.8,chr22,23894383,23895223,841,+,239181,1,0.433888228299643,MIF,ENST00000215754
ENST00000215770.6,chr22,23966888,23972556,5669,+,239188,2,0.0635385429529017,DDTL,ENST00000215770
ENST00000215781.3,chr22,30262829,30266851,4023,-,242171,2,0.14553815560527,OSM,ENST00000215781
ENST00000215793.13,chr22,30331988,30356894,24907,-,242204,16,0.176042879511784,SF3A1,ENST00000215793
ENST00000215794.8,chr22,18150170,18177397,27228,+,238481,4,0.0672542970471573,USP18,ENST00000215794
ENST00000215829.8,chr22,24555999,24574971,18973,+,239243,3,0.0946871870552892,SNRPD3,ENST00000215829
ENST00000215838.8,chr22,30607174,30627271,20098,+,239657,1,0.0840232858990945,TCN2,ENST00000215838
ENST00000215855.7,chr22,25199858,25207359,7502,+,239298,6,0.101666222340709,CRYBB3,ENST00000215855
ENST00000215882.10,chr22,19175581,19178736,3156,-,241387,6,0.37924588086185,SLC25A1,ENST00000215882
ENST00000215885.4,chr22,31134807,31140508,5702,-,242318,3,0.187197474570326,PLA2G3,ENST00000215885
ENST00000215886.6,chr22,37570248,37580087,9840,-,242745,2,0.0683434959349594,LGALS2,ENST00000215886
ENST00000215904.7,chr22,37658723,37666932,8210,+,240148,2,0.156760048721072,PDXP,ENST00000215904
ENST00000215906.6,chr22,26429260,26445015,15756,+,239345,4,0.150685453160701,ASPHD2,ENST00000215906
ENST00000215909.10,chr22,37675636,37679802,4167,+,240150,2,0.154427645788337,LGALS1,ENST00000215909
ENST00000215912.10,chr22,31281600,31292488,10889,-,242325,2,0.27243089356231,PIK3IP1,ENST00000215912
ENST00000215917.11,chr22,26483877,26494658,10782,+,239346,5,0.137534780189204,SRRD,ENST00000215917
ENST00000215941.9,chr22,37830855,37844334,13480,-,242749,1,0.128442136498516,ANKRD54,ENST00000215941
ENST00000215957.10,chr22,37906297,37942822,36526,+,240203,2,0.0915539615616274,MICALL1,ENST00000215957
ENST00000216014.9,chr22,38468096,38483447,15352,+,240263,1,0.110884575299635,KDELR3,ENST00000216014
ENST00000216024.7,chr22,38518948,38570183,51236,-,242883,6,0.221246779608088,DMC1,ENST00000216024
ENST00000216027.8,chr22,28742039,28757510,15472,+,239478,2,0.104576008273009,HSCB,ENST00000216027
ENST00000216034.6,chr22,38681957,38685421,3465,+,240276,4,0.248946608946609,TOMM22,ENST00000216034
ENST00000216038.6,chr22,32387582,32412247,24666,-,242417,7,0.126522338441579,RTCB,ENST00000216038
ENST00000216039.9,chr22,38685543,38700667,15125,-,242909,2,0.221672727272727,JOSD1,ENST00000216039
