gene,null_model,alt_model,species,p,omega,branch
AAGAB,b_neut,b_free,12,0.054794,0.133,Human
AAGAB,b_neut,b_free,41,0.415114,999,Homo-Pan
AAGAB,b_neut,b_free,34,0.986043,172.029,Primate
AAGAB,b_neut,b_free,39,0.488938,285.616,Great Ape
AAGAB,b_neut,b_free,35,0.492537,0,Haplorhine
AAK1,b_neut,b_free,12,0.148859,0.332,Human
AAK1,b_neut,b_free,41,0.115573,0,Homo-Pan
AAK1,b_neut,b_free,34,0.337903,0.31,Primate
AAK1,b_neut,b_free,39,0.037288,0.035,Great Ape
AAK1,b_neut,b_free,35,0.364943,0.042,Haplorhine
AAMDC,b_neut,b_free,12,0.111776,0,Human
AAMDC,b_neut,b_free,41,1,0.564,Homo-Pan
AAMDC,b_neut,b_free,34,0.281724,108.297,Primate
AAMDC,b_neut,b_free,39,1,0.567,Great Ape
AAMDC,b_neut,b_free,35,1,0,Haplorhine
AAMP,b_neut,b_free,12,0.102737,0,Human
AAMP,b_neut,b_free,41,0.974622,0,Homo-Pan
AAMP,b_neut,b_free,34,0.099882,0,Primate
AAMP,b_neut,b_free,39,0.112626,0,Great Ape
AAMP,b_neut,b_free,35,0.724138,0,Haplorhine
AANAT,b_neut,b_free,12,0.484261,0.399,Human
AANAT,b_neut,b_free,41,0.996808,0.564,Homo-Pan
AANAT,b_neut,b_free,34,1,29.372,Primate
AANAT,b_neut,b_free,39,1,0.648,Great Ape
AANAT,b_neut,b_free,35,0.540343,999,Haplorhine
AAR2,b_neut,b_free,12,0.422449,0.31,Human
AAR2,b_neut,b_free,41,0.016918,0,Homo-Pan
AAR2,b_neut,b_free,34,0.644676,0.174,Primate
AAR2,b_neut,b_free,39,0.12465,0,Great Ape
AAR2,b_neut,b_free,35,0.01109,0,Haplorhine
AARD,b_neut,b_free,11,0.940742,0.916,Human
AARD,b_neut,b_free,40,1,0.561,Homo-Pan
AARD,b_neut,b_free,33,0.045784,0.09,Primate
AARD,b_neut,b_free,38,0.330281,999,Great Ape
AARD,b_neut,b_free,34,0.122865,0.062,Haplorhine
AARS2,b_neut,b_free,12,0.141053,0.254,Human
AARS2,b_neut,b_free,41,0.554928,1.871,Homo-Pan
AARS2,b_neut,b_free,34,0.018476,0.156,Primate
AARS2,b_neut,b_free,39,0.076598,0.251,Great Ape
AARS2,b_neut,b_free,35,0.4591,999,Haplorhine
AARSD1,b_neut,b_free,12,0.73381,0.741,Human
AARSD1,b_neut,b_free,41,0.426347,999,Homo-Pan
AARSD1,b_neut,b_free,34,0.745029,0.348,Primate
AARSD1,b_neut,b_free,39,0.486368,0.358,Great Ape
AARSD1,b_neut,b_free,35,0.233896,0.267,Haplorhine
AASDH,b_neut,b_free,12,0.137945,0.173,Human
AASDH,b_neut,b_free,41,0.442357,999,Homo-Pan
AASDH,b_neut,b_free,34,0.138904,0.337,Primate
AASDH,b_neut,b_free,39,0.045378,0.107,Great Ape
AASDH,b_neut,b_free,35,0.394028,0.49,Haplorhine
AASDHPPT,b_neut,b_free,12,0.01625,0,Human
AASDHPPT,b_neut,b_free,41,0.992775,0.286,Homo-Pan
AASDHPPT,b_neut,b_free,34,0.028292,0,Primate
AASDHPPT,b_neut,b_free,39,0.99563,0.653,Great Ape
AASDHPPT,b_neut,b_free,35,0.254583,0,Haplorhine
AASS,b_neut,b_free,12,0.003197,0.113,Human
AASS,b_neut,b_free,41,0.7989,0.727,Homo-Pan
AASS,b_neut,b_free,34,0.042099,0.23,Primate
AASS,b_neut,b_free,39,0.985907,18.13,Great Ape
AASS,b_neut,b_free,35,0.016265,0.199,Haplorhine
AATF,b_neut,b_free,12,0.001443,0,Human
AATF,b_neut,b_free,41,0.789993,114.262,Homo-Pan
AATF,b_neut,b_free,34,0.005435,0.144,Primate
AATF,b_neut,b_free,39,0.001672,0,Great Ape
AATF,b_neut,b_free,35,0.266937,0.231,Haplorhine
AATK,b_neut,b_free,12,0.017648,0.354,Human
AATK,b_neut,b_free,41,0.003463,0.159,Homo-Pan
AATK,b_neut,b_free,34,0.190164,0.232,Primate
AATK,b_neut,b_free,39,0.015878,0.162,Great Ape
AATK,b_neut,b_free,35,0.460553,0.373,Haplorhine
ABAT,b_neut,b_free,12,0.891369,1.163,Human
ABAT,b_neut,b_free,41,0.997477,0.581,Homo-Pan
ABAT,b_neut,b_free,34,0.634681,0.134,Primate
ABAT,b_neut,b_free,39,0.530669,0,Great Ape
ABAT,b_neut,b_free,35,0.037316,0,Haplorhine
ABCA1,b_neut,b_free,12,0.021772,0.271,Human
ABCA1,b_neut,b_free,41,0.009094,0,Homo-Pan
ABCA1,b_neut,b_free,34,0,0.02,Primate
ABCA1,b_neut,b_free,39,0.082603,0.123,Great Ape
ABCA1,b_neut,b_free,35,0.002674,0.173,Haplorhine
ABCA10,b_neut,b_free,12,0.541115,0.681,Human
ABCA10,b_neut,b_free,41,0.218341,0.352,Homo-Pan
ABCA10,b_neut,b_free,34,0,0.286,Primate
ABCA10,b_neut,b_free,39,0.147492,999,Great Ape
ABCA10,b_neut,b_free,35,0.951562,0.939,Haplorhine
ABCA12,b_neut,b_free,12,0.000624,0.144,Human
ABCA12,b_neut,b_free,41,0.066803,0.133,Homo-Pan
ABCA12,b_neut,b_free,34,0.016257,0.242,Primate
ABCA12,b_neut,b_free,39,0.011143,0.079,Great Ape
ABCA12,b_neut,b_free,35,0.084106,0.331,Haplorhine
ABCA2,b_neut,b_free,12,0,0.031,Human
ABCA2,b_neut,b_free,41,0.000143,0.046,Homo-Pan
ABCA2,b_neut,b_free,34,1,42.267,Primate
ABCA2,b_neut,b_free,39,0.002022,0.036,Great Ape
ABCA2,b_neut,b_free,35,1,27.724,Haplorhine
ABCA3,b_neut,b_free,12,1,0.113,Human
ABCA3,b_neut,b_free,41,0.67049,0.125,Homo-Pan
ABCA3,b_neut,b_free,34,1,0.141,Primate
ABCA3,b_neut,b_free,39,0.000462,0.028,Great Ape
ABCA3,b_neut,b_free,35,0.001202,0.112,Haplorhine
ABCA4,b_neut,b_free,12,0.001589,0.237,Human
ABCA4,b_neut,b_free,41,0.409349,0.274,Homo-Pan
ABCA4,b_neut,b_free,34,0.004427,0.312,Primate
ABCA4,b_neut,b_free,39,5.4e-05,0.029,Great Ape
ABCA4,b_neut,b_free,35,0.020332,0.319,Haplorhine
ABCA5,b_neut,b_free,12,0.230355,0.375,Human
ABCA5,b_neut,b_free,41,0.144457,0.164,Homo-Pan
ABCA5,b_neut,b_free,34,0.018888,0.181,Primate
ABCA5,b_neut,b_free,39,0.990492,0.519,Great Ape
ABCA5,b_neut,b_free,35,0.015516,0.129,Haplorhine
ABCA6,b_neut,b_free,12,0.002861,0.195,Human
ABCA6,b_neut,b_free,41,0.001727,0,Homo-Pan
ABCA6,b_neut,b_free,34,0.496388,0.751,Primate
ABCA6,b_neut,b_free,39,0.075828,0.287,Great Ape
ABCA6,b_neut,b_free,35,0.686373,0.756,Haplorhine
ABCA7,b_neut,b_free,11,0,0.133,Human
ABCA7,b_neut,b_free,39,0.000354,0.04,Homo-Pan
ABCA7,b_neut,b_free,32,1e-06,0.111,Primate
ABCA7,b_neut,b_free,37,3e-06,0,Great Ape
ABCA7,b_neut,b_free,33,0.220368,0.167,Haplorhine
ABCA8,b_neut,b_free,12,0.017287,0.305,Human
ABCA8,b_neut,b_free,41,0.200889,0.396,Homo-Pan
ABCA8,b_neut,b_free,34,0.445361,0.729,Primate
ABCA8,b_neut,b_free,39,0.065848,0,Great Ape
ABCA8,b_neut,b_free,35,0.860531,0.863,Haplorhine
ABCA9,b_neut,b_free,12,0.008939,0.265,Human
ABCA9,b_neut,b_free,41,0.354866,0.538,Homo-Pan
ABCA9,b_neut,b_free,34,0.000585,0.19,Primate
ABCA9,b_neut,b_free,39,0.034533,0.208,Great Ape
ABCA9,b_neut,b_free,35,0.189483,0.472,Haplorhine
ABCB1,b_neut,b_free,12,0.032602,0.252,Human
ABCB1,b_neut,b_free,41,0.429274,0.445,Homo-Pan
ABCB1,b_neut,b_free,34,0.050979,0.288,Primate
ABCB1,b_neut,b_free,39,0.78918,0.742,Great Ape
ABCB1,b_neut,b_free,35,4e-05,0.163,Haplorhine
ABCB10,b_neut,b_free,12,0.046967,0.242,Human
ABCB10,b_neut,b_free,41,0.165514,0,Homo-Pan
ABCB10,b_neut,b_free,34,0.90372,0.921,Primate
ABCB10,b_neut,b_free,39,0.528909,0,Great Ape
ABCB10,b_neut,b_free,35,0.082621,0.091,Haplorhine
ABCB11,b_neut,b_free,12,0.004044,0.192,Human
ABCB11,b_neut,b_free,41,0.030285,0,Homo-Pan
ABCB11,b_neut,b_free,34,0.007583,0.137,Primate
ABCB11,b_neut,b_free,39,0.244346,0.359,Great Ape
ABCB11,b_neut,b_free,35,0.035067,0.332,Haplorhine
ABCB4,b_neut,b_free,12,0.052312,0.198,Human
ABCB4,b_neut,b_free,41,0.568074,0.419,Homo-Pan
ABCB4,b_neut,b_free,34,0.002102,0.076,Primate
ABCB4,b_neut,b_free,39,0.028561,0,Great Ape
ABCB4,b_neut,b_free,35,0.008512,0.037,Haplorhine
ABCB5,b_neut,b_free,12,0.098885,0.447,Human
ABCB5,b_neut,b_free,41,0.348192,0.374,Homo-Pan
ABCB5,b_neut,b_free,34,0.104853,0.377,Primate
ABCB5,b_neut,b_free,39,0.244302,0.228,Great Ape
ABCB5,b_neut,b_free,35,0.041461,0.216,Haplorhine
ABCB6,b_neut,b_free,12,0.000525,0.094,Human
ABCB6,b_neut,b_free,41,0.024679,0,Homo-Pan
ABCB6,b_neut,b_free,34,0.807482,314.428,Primate
ABCB6,b_neut,b_free,39,0.339566,999,Great Ape
ABCB6,b_neut,b_free,35,0.275271,0.324,Haplorhine
ABCB7,b_neut,b_free,12,0.159918,0.191,Human
ABCB7,b_neut,b_free,41,0.990426,0,Homo-Pan
ABCB7,b_neut,b_free,34,0.207176,0.275,Primate
ABCB7,b_neut,b_free,39,0.997477,0.802,Great Ape
ABCB7,b_neut,b_free,35,0.321467,0.063,Haplorhine
ABCB8,b_neut,b_free,12,0.000227,0.044,Human
ABCB8,b_neut,b_free,41,0.061834,0.181,Homo-Pan
ABCB8,b_neut,b_free,34,9.6e-05,0.125,Primate
ABCB8,b_neut,b_free,39,0.316378,0,Great Ape
ABCB8,b_neut,b_free,35,0.454424,209.252,Haplorhine
ABCB9,b_neut,b_free,12,3e-06,0,Human
ABCB9,b_neut,b_free,41,0.116065,0,Homo-Pan
ABCB9,b_neut,b_free,34,0.284093,0.141,Primate
ABCB9,b_neut,b_free,39,2.7e-05,0.032,Great Ape
ABCB9,b_neut,b_free,35,0.000316,0.021,Haplorhine
ABCC1,b_neut,b_free,12,0,0,Human
ABCC1,b_neut,b_free,41,0.006793,0,Homo-Pan
ABCC1,b_neut,b_free,34,0.147932,0.067,Primate
ABCC1,b_neut,b_free,39,0.022657,0.081,Great Ape
ABCC1,b_neut,b_free,35,0.119907,0.098,Haplorhine
ABCC10,b_neut,b_free,12,0.101482,0.368,Human
ABCC10,b_neut,b_free,41,0.830642,0.793,Homo-Pan
ABCC10,b_neut,b_free,34,0.012927,0.186,Primate
ABCC10,b_neut,b_free,39,0.001681,0.067,Great Ape
ABCC10,b_neut,b_free,35,0.00032,0.084,Haplorhine
ABCC11,b_neut,b_free,12,5.4e-05,0.139,Human
ABCC11,b_neut,b_free,41,0.980953,0.97,Homo-Pan
ABCC11,b_neut,b_free,34,0.038545,0.308,Primate
ABCC11,b_neut,b_free,39,0.209531,0,Great Ape
ABCC11,b_neut,b_free,35,0.206106,0.442,Haplorhine
ABCC12,b_neut,b_free,12,0.293115,0.576,Human
ABCC12,b_neut,b_free,41,0.480978,0.424,Homo-Pan
ABCC12,b_neut,b_free,34,0.00169,0.126,Primate
ABCC12,b_neut,b_free,39,0.122118,0.148,Great Ape
ABCC12,b_neut,b_free,35,0.002483,0.102,Haplorhine
ABCC2,b_neut,b_free,12,0.635765,0.76,Human
ABCC2,b_neut,b_free,41,0.324993,0.363,Homo-Pan
ABCC2,b_neut,b_free,34,0.058814,0.418,Primate
ABCC2,b_neut,b_free,39,0.737268,0.694,Great Ape
ABCC2,b_neut,b_free,35,0.472723,0.608,Haplorhine
ABCC3,b_neut,b_free,12,0.012401,0.295,Human
ABCC3,b_neut,b_free,41,0.006361,0,Homo-Pan
ABCC3,b_neut,b_free,34,5.2e-05,0.153,Primate
ABCC3,b_neut,b_free,39,0.359139,0.502,Great Ape
ABCC3,b_neut,b_free,35,0.008058,0.192,Haplorhine
ABCC4,b_neut,b_free,12,0.001343,0.153,Human
ABCC4,b_neut,b_free,41,0.076978,0.144,Homo-Pan
ABCC4,b_neut,b_free,34,0.027817,0.247,Primate
ABCC4,b_neut,b_free,39,2e-05,0,Great Ape
ABCC4,b_neut,b_free,35,0.071605,0.225,Haplorhine
ABCC5,b_neut,b_free,12,0,0,Human
ABCC5,b_neut,b_free,41,0.139154,0,Homo-Pan
ABCC5,b_neut,b_free,34,0.106427,0.059,Primate
ABCC5,b_neut,b_free,39,7e-06,0.034,Great Ape
ABCC5,b_neut,b_free,35,0.000173,0.025,Haplorhine
ABCC6,b_neut,b_free,12,0.003511,0.258,Human
ABCC6,b_neut,b_free,41,0.036451,0.093,Homo-Pan
ABCC6,b_neut,b_free,34,0.000826,0.219,Primate
ABCC6,b_neut,b_free,39,0.000688,0,Great Ape
ABCC6,b_neut,b_free,35,0.073195,0.338,Haplorhine
ABCC8,b_neut,b_free,12,0,0.046,Human
ABCC8,b_neut,b_free,41,0.099584,0.131,Homo-Pan
ABCC8,b_neut,b_free,34,1.7e-05,0.073,Primate
ABCC8,b_neut,b_free,39,1,9.499,Great Ape
ABCC8,b_neut,b_free,35,0.134299,0.077,Haplorhine
ABCC9,b_neut,b_free,11,0.163186,0.193,Human
ABCC9,b_neut,b_free,40,0.02601,0,Homo-Pan
ABCC9,b_neut,b_free,33,0.00183,0.035,Primate
ABCC9,b_neut,b_free,38,0.014184,0,Great Ape
ABCC9,b_neut,b_free,34,0.020925,0.028,Haplorhine
ABCD1,b_neut,b_free,12,0.00023,0,Human
ABCD1,b_neut,b_free,41,0.041519,0,Homo-Pan
ABCD1,b_neut,b_free,34,0.00281,0.024,Primate
ABCD1,b_neut,b_free,39,0.079128,0.097,Great Ape
ABCD1,b_neut,b_free,35,0,0.019,Haplorhine
ABCD2,b_neut,b_free,12,0.036853,0.175,Human
ABCD2,b_neut,b_free,41,0.968373,0,Homo-Pan
ABCD2,b_neut,b_free,34,0.002936,0.034,Primate
ABCD2,b_neut,b_free,39,0.987953,0,Great Ape
ABCD2,b_neut,b_free,35,0.758966,0.335,Haplorhine
ABCD4,b_neut,b_free,12,0.131434,0.331,Human
ABCD4,b_neut,b_free,41,0.00443,0,Homo-Pan
ABCD4,b_neut,b_free,34,0.30222,0.189,Primate
ABCD4,b_neut,b_free,39,0.111071,0.213,Great Ape
ABCD4,b_neut,b_free,35,0.070648,0.153,Haplorhine
ABCE1,b_neut,b_free,12,0.018484,0,Human
ABCE1,b_neut,b_free,41,0.998046,0.564,Homo-Pan
ABCE1,b_neut,b_free,34,1.6e-05,0,Primate
ABCE1,b_neut,b_free,39,0.995778,0.564,Great Ape
ABCE1,b_neut,b_free,35,0.398531,0,Haplorhine
ABCF1,b_neut,b_free,12,0.04453,0.187,Human
ABCF1,b_neut,b_free,41,1,0.567,Homo-Pan
ABCF1,b_neut,b_free,34,0.027888,0.036,Primate
ABCF1,b_neut,b_free,39,0.037479,0,Great Ape
ABCF1,b_neut,b_free,35,0.001569,0,Haplorhine
ABCF2,b_neut,b_free,12,0.003063,0,Human
ABCF2,b_neut,b_free,41,0.997743,0.564,Homo-Pan
ABCF2,b_neut,b_free,34,1,3.486,Primate
ABCF2,b_neut,b_free,39,0.236431,0,Great Ape
ABCF2,b_neut,b_free,35,0.73318,0,Haplorhine
ABCF3,b_neut,b_free,12,0.492269,0.452,Human
ABCF3,b_neut,b_free,41,0.120423,0,Homo-Pan
ABCF3,b_neut,b_free,34,0.000212,0.041,Primate
ABCF3,b_neut,b_free,39,0.000424,0,Great Ape
ABCF3,b_neut,b_free,35,0.012455,0,Haplorhine
ABCG1,b_neut,b_free,12,7e-05,0,Human
ABCG1,b_neut,b_free,41,0.08513,0,Homo-Pan
ABCG1,b_neut,b_free,34,0.030591,0,Primate
ABCG1,b_neut,b_free,39,0.669167,0.326,Great Ape
ABCG1,b_neut,b_free,35,1.8e-05,0.015,Haplorhine
ABCG2,b_neut,b_free,12,0.526787,0.567,Human
ABCG2,b_neut,b_free,41,0.100535,0.275,Homo-Pan
ABCG2,b_neut,b_free,34,0.320205,7.166,Primate
ABCG2,b_neut,b_free,39,0.054188,0,Great Ape
ABCG2,b_neut,b_free,35,0.266015,0.293,Haplorhine
ABCG4,b_neut,b_free,12,0.002435,0,Human
ABCG4,b_neut,b_free,41,0.997743,0.56,Homo-Pan
ABCG4,b_neut,b_free,34,0.001793,0,Primate
ABCG4,b_neut,b_free,39,0.030001,0,Great Ape
ABCG4,b_neut,b_free,35,1,2.653,Haplorhine
ABCG5,b_neut,b_free,12,0.052008,0.13,Human
ABCG5,b_neut,b_free,41,0.175658,0.197,Homo-Pan
ABCG5,b_neut,b_free,34,0.733345,1.296,Primate
ABCG5,b_neut,b_free,39,0.239664,0.424,Great Ape
ABCG5,b_neut,b_free,35,0.107458,0.156,Haplorhine
ABCG8,b_neut,b_free,12,0.211605,0.368,Human
ABCG8,b_neut,b_free,41,0.001676,0.052,Homo-Pan
ABCG8,b_neut,b_free,34,0.358952,0.44,Primate
ABCG8,b_neut,b_free,39,0.000713,0,Great Ape
ABCG8,b_neut,b_free,35,0.020462,0.152,Haplorhine
ABHD1,b_neut,b_free,12,0.070416,999,Human
ABHD1,b_neut,b_free,41,0.141037,0,Homo-Pan
ABHD1,b_neut,b_free,34,0.594332,0.593,Primate
ABHD1,b_neut,b_free,39,0.344378,999,Great Ape
ABHD1,b_neut,b_free,35,0.320907,0.359,Haplorhine
ABHD10,b_neut,b_free,12,0.106468,0,Human
ABHD10,b_neut,b_free,41,1,1.864,Homo-Pan
ABHD10,b_neut,b_free,34,0.11717,999,Primate
ABHD10,b_neut,b_free,39,0.287766,0,Great Ape
ABHD10,b_neut,b_free,35,0.024683,0.137,Haplorhine
ABHD12,b_neut,b_free,12,0.108089,0,Human
ABHD12,b_neut,b_free,41,0.022877,0,Homo-Pan
ABHD12,b_neut,b_free,34,0.015253,0.029,Primate
ABHD12,b_neut,b_free,39,0.384875,0.125,Great Ape
ABHD12,b_neut,b_free,35,0.211721,0,Haplorhine
ABHD12B,b_neut,b_free,12,0.513677,0.39,Human
ABHD12B,b_neut,b_free,41,0.111484,0,Homo-Pan
ABHD12B,b_neut,b_free,34,0.567375,2.938,Primate
ABHD12B,b_neut,b_free,39,0.148191,0,Great Ape
ABHD12B,b_neut,b_free,35,0.529459,0,Haplorhine
ABHD13,b_neut,b_free,12,0.019069,0,Human
ABHD13,b_neut,b_free,41,0.98906,0,Homo-Pan
ABHD13,b_neut,b_free,34,0.006931,0,Primate
ABHD13,b_neut,b_free,39,0.019323,0,Great Ape
ABHD13,b_neut,b_free,35,0.195792,0.135,Haplorhine
ABHD14A,b_neut,b_free,12,0.311268,0.356,Human
ABHD14A,b_neut,b_free,41,1,0.564,Homo-Pan
ABHD14A,b_neut,b_free,34,0.009216,0.089,Primate
ABHD14A,b_neut,b_free,39,0.982268,0,Great Ape
ABHD14A,b_neut,b_free,35,1,1.999,Haplorhine
ABHD14B,b_neut,b_free,12,0.319027,999,Human
ABHD14B,b_neut,b_free,41,0.998404,0.567,Homo-Pan
ABHD14B,b_neut,b_free,34,0.191156,0.112,Primate
ABHD14B,b_neut,b_free,39,0.998872,0.565,Great Ape
ABHD14B,b_neut,b_free,35,0.359956,0.266,Haplorhine
ABHD15,b_neut,b_free,12,1.6e-05,0,Human
ABHD15,b_neut,b_free,41,0.998046,0.568,Homo-Pan
ABHD15,b_neut,b_free,34,0.017602,0.062,Primate
ABHD15,b_neut,b_free,39,0.12669,0,Great Ape
ABHD15,b_neut,b_free,35,0.530426,0.344,Haplorhine
ABHD16A,b_neut,b_free,12,0.10222,0,Human
ABHD16A,b_neut,b_free,41,0.144401,0,Homo-Pan
ABHD16A,b_neut,b_free,34,0.196287,0.165,Primate
ABHD16A,b_neut,b_free,39,0.463333,999,Great Ape
ABHD16A,b_neut,b_free,35,0.000958,0.115,Haplorhine
ABHD16B,b_neut,b_free,12,0.967994,1.046,Human
ABHD16B,b_neut,b_free,41,0.369592,0.217,Homo-Pan
ABHD16B,b_neut,b_free,34,1,5.589,Primate
ABHD16B,b_neut,b_free,39,0.713256,0.343,Great Ape
ABHD16B,b_neut,b_free,35,0.181115,0.027,Haplorhine
ABHD17A,b_neut,b_free,11,2.6e-05,0,Human
ABHD17A,b_neut,b_free,39,0.990426,0.24,Homo-Pan
ABHD17A,b_neut,b_free,32,0.151109,0.036,Primate
ABHD17A,b_neut,b_free,37,0.160434,0,Great Ape
ABHD17A,b_neut,b_free,33,0.237714,0.078,Haplorhine
ABHD17B,b_neut,b_free,12,0.996808,0.569,Human
ABHD17B,b_neut,b_free,41,0.990833,0,Homo-Pan
ABHD17B,b_neut,b_free,34,0.250549,0.239,Primate
ABHD17B,b_neut,b_free,39,0.016104,0,Great Ape
ABHD17B,b_neut,b_free,35,0.100315,0.075,Haplorhine
ABHD17C,b_neut,b_free,12,5.6e-05,0,Human
ABHD17C,b_neut,b_free,40,0.334817,0.242,Homo-Pan
ABHD17C,b_neut,b_free,33,0.802485,0.095,Primate
ABHD17C,b_neut,b_free,38,0.902394,17.801,Great Ape
ABHD17C,b_neut,b_free,34,0.009686,0,Haplorhine
ABHD18,b_neut,b_free,12,0.512553,999,Human
ABHD18,b_neut,b_free,41,0.391168,0.533,Homo-Pan
ABHD18,b_neut,b_free,34,0.016262,0,Primate
ABHD18,b_neut,b_free,39,0.141244,0,Great Ape
ABHD18,b_neut,b_free,35,0.216509,0.203,Haplorhine
ABHD2,b_neut,b_free,12,0.037521,0.113,Human
ABHD2,b_neut,b_free,41,0.104112,0,Homo-Pan
ABHD2,b_neut,b_free,34,0.011327,0,Primate
ABHD2,b_neut,b_free,39,0.148405,0,Great Ape
ABHD2,b_neut,b_free,35,0.049344,0,Haplorhine
ABHD4,b_neut,b_free,12,0.003493,0,Human
ABHD4,b_neut,b_free,41,0.977155,0,Homo-Pan
ABHD4,b_neut,b_free,34,0.041782,0,Primate
ABHD4,b_neut,b_free,39,0.029259,0,Great Ape
ABHD4,b_neut,b_free,35,0.696029,205.517,Haplorhine
ABHD6,b_neut,b_free,12,0.107379,0,Human
ABHD6,b_neut,b_free,41,0.996808,0.563,Homo-Pan
ABHD6,b_neut,b_free,34,0.147146,0.02,Primate
ABHD6,b_neut,b_free,39,0.107309,0,Great Ape
ABHD6,b_neut,b_free,35,0.930457,0.52,Haplorhine
ABHD8,b_neut,b_free,11,0.002423,0,Human
ABHD8,b_neut,b_free,39,0.996808,0.649,Homo-Pan
ABHD8,b_neut,b_free,32,0.02113,0.006,Primate
ABHD8,b_neut,b_free,37,0.501058,999,Great Ape
ABHD8,b_neut,b_free,33,1,1.262,Haplorhine
ABI1,b_neut,b_free,12,0.105983,0,Human
ABI1,b_neut,b_free,41,0.996258,0.561,Homo-Pan
ABI1,b_neut,b_free,34,0.002492,0,Primate
ABI1,b_neut,b_free,39,0.99563,0.559,Great Ape
