gene,null_model,alt_model,species,p,branch
AAK1,bsA1,bsA,41,1,Homo-Pan
AAK1,bsA1,bsA,34,0.921006,Primate
AAK1,bsA1,bsA,39,0.980819,Great Ape
AAK1,bsA1,bsA,35,1,Haplorhine
AAMDC,bsA1,bsA,41,1,Homo-Pan
AAMDC,bsA1,bsA,34,1,Primate
AAMDC,bsA1,bsA,39,0.015493,Great Ape
AAMDC,bsA1,bsA,35,1,Haplorhine
AAMP,bsA1,bsA,41,0.991632,Homo-Pan
AAMP,bsA1,bsA,34,1,Primate
AAMP,bsA1,bsA,39,0.998872,Great Ape
AAMP,bsA1,bsA,35,1,Haplorhine
AANAT,bsA1,bsA,41,1,Homo-Pan
AANAT,bsA1,bsA,34,1,Primate
AANAT,bsA1,bsA,39,1,Great Ape
AANAT,bsA1,bsA,35,0.778824,Haplorhine
AAR2,bsA1,bsA,41,1,Homo-Pan
AAR2,bsA1,bsA,34,1,Primate
AAR2,bsA1,bsA,39,1,Great Ape
AAR2,bsA1,bsA,35,1,Haplorhine
AARD,bsA1,bsA,40,0.938856,Homo-Pan
AARD,bsA1,bsA,33,1,Primate
AARD,bsA1,bsA,38,0.332445,Great Ape
AARD,bsA1,bsA,34,1,Haplorhine
AARS2,bsA1,bsA,41,0.42813,Homo-Pan
AARS2,bsA1,bsA,34,1,Primate
AARS2,bsA1,bsA,39,1,Great Ape
AARS2,bsA1,bsA,35,1,Haplorhine
AARSD1,bsA1,bsA,41,0.426874,Homo-Pan
AARSD1,bsA1,bsA,34,1,Primate
AARSD1,bsA1,bsA,39,1,Great Ape
AARSD1,bsA1,bsA,35,1,Haplorhine
AASDH,bsA1,bsA,41,0.448007,Homo-Pan
AASDH,bsA1,bsA,34,1,Primate
AASDH,bsA1,bsA,39,1,Great Ape
AASDH,bsA1,bsA,35,0.996432,Haplorhine
AASDHPPT,bsA1,bsA,41,1,Homo-Pan
AASDHPPT,bsA1,bsA,34,1,Primate
AASDHPPT,bsA1,bsA,39,1,Great Ape
AASDHPPT,bsA1,bsA,35,1,Haplorhine
AASS,bsA1,bsA,41,0.730682,Homo-Pan
AASS,bsA1,bsA,34,1,Primate
AASS,bsA1,bsA,39,1,Great Ape
AASS,bsA1,bsA,35,0.998872,Haplorhine
AATF,bsA1,bsA,41,1,Homo-Pan
AATF,bsA1,bsA,34,1,Primate
AATF,bsA1,bsA,39,1,Great Ape
AATF,bsA1,bsA,35,1,Haplorhine
AATK,bsA1,bsA,41,1,Homo-Pan
AATK,bsA1,bsA,34,1,Primate
AATK,bsA1,bsA,39,1,Great Ape
AATK,bsA1,bsA,35,1,Haplorhine
ABAT,bsA1,bsA,41,1,Homo-Pan
ABAT,bsA1,bsA,34,1,Primate
ABAT,bsA1,bsA,39,0.998872,Great Ape
ABAT,bsA1,bsA,35,1,Haplorhine
ABCA1,bsA1,bsA,41,1,Homo-Pan
ABCA1,bsA1,bsA,34,0.979786,Primate
ABCA1,bsA1,bsA,39,0.982304,Great Ape
ABCA1,bsA1,bsA,35,0.979442,Haplorhine
ABCA10,bsA1,bsA,41,0.995487,Homo-Pan
ABCA10,bsA1,bsA,34,0.029539,Primate
ABCA10,bsA1,bsA,39,0.229996,Great Ape
ABCA10,bsA1,bsA,35,1,Haplorhine
ABCA12,bsA1,bsA,41,1,Homo-Pan
ABCA12,bsA1,bsA,34,0.980753,Primate
ABCA12,bsA1,bsA,39,0.980687,Great Ape
ABCA12,bsA1,bsA,35,1,Haplorhine
ABCA13,bsA1,bsA,41,1,Homo-Pan
ABCA13,bsA1,bsA,34,1,Primate
ABCA13,bsA1,bsA,39,0.990627,Great Ape
ABCA13,bsA1,bsA,35,1,Haplorhine
ABCA2,bsA1,bsA,41,1,Homo-Pan
ABCA2,bsA1,bsA,34,1,Primate
ABCA2,bsA1,bsA,39,1,Great Ape
ABCA2,bsA1,bsA,35,0.987486,Haplorhine
ABCA4,bsA1,bsA,41,1,Homo-Pan
ABCA4,bsA1,bsA,34,0.262685,Primate
ABCA4,bsA1,bsA,39,1,Great Ape
ABCA4,bsA1,bsA,35,0.937838,Haplorhine
ABCA5,bsA1,bsA,41,0.997236,Homo-Pan
ABCA5,bsA1,bsA,34,1,Primate
ABCA5,bsA1,bsA,39,1,Great Ape
ABCA5,bsA1,bsA,35,0.997743,Haplorhine
ABCA6,bsA1,bsA,41,1,Homo-Pan
ABCA6,bsA1,bsA,34,1,Primate
ABCA6,bsA1,bsA,39,1,Great Ape
ABCA6,bsA1,bsA,35,0.783762,Haplorhine
ABCA7,bsA1,bsA,39,0.992515,Homo-Pan
ABCA7,bsA1,bsA,32,0.991708,Primate
ABCA7,bsA1,bsA,37,0.998404,Great Ape
ABCA7,bsA1,bsA,33,1,Haplorhine
ABCA8,bsA1,bsA,41,0.996615,Homo-Pan
ABCA8,bsA1,bsA,34,0.996091,Primate
ABCA8,bsA1,bsA,39,0.994029,Great Ape
ABCA8,bsA1,bsA,35,1,Haplorhine
ABCA9,bsA1,bsA,41,0.985639,Homo-Pan
ABCA9,bsA1,bsA,34,0.984406,Primate
ABCA9,bsA1,bsA,39,0.991785,Great Ape
ABCA9,bsA1,bsA,35,0.046081,Haplorhine
ABCB1,bsA1,bsA,41,1,Homo-Pan
ABCB1,bsA1,bsA,34,0.967559,Primate
ABCB1,bsA1,bsA,39,1,Great Ape
ABCB1,bsA1,bsA,35,0.998046,Haplorhine
ABCB10,bsA1,bsA,41,1,Homo-Pan
ABCB10,bsA1,bsA,34,0.243489,Primate
ABCB10,bsA1,bsA,39,0.998872,Great Ape
ABCB10,bsA1,bsA,35,0.246986,Haplorhine
ABCB11,bsA1,bsA,41,0.996432,Homo-Pan
ABCB11,bsA1,bsA,34,0.991708,Primate
ABCB11,bsA1,bsA,39,0.917314,Great Ape
ABCB11,bsA1,bsA,35,0.001997,Haplorhine
ABCB4,bsA1,bsA,41,0.998404,Homo-Pan
ABCB4,bsA1,bsA,34,0.991333,Primate
ABCB4,bsA1,bsA,39,0.989971,Great Ape
ABCB4,bsA1,bsA,35,0.997743,Haplorhine
ABCB5,bsA1,bsA,41,0.995932,Homo-Pan
ABCB5,bsA1,bsA,34,0.148784,Primate
ABCB5,bsA1,bsA,39,0.998404,Great Ape
ABCB5,bsA1,bsA,35,0.998046,Haplorhine
ABCB6,bsA1,bsA,41,0.995932,Homo-Pan
ABCB6,bsA1,bsA,34,0.657341,Primate
ABCB6,bsA1,bsA,39,0.34702,Great Ape
ABCB6,bsA1,bsA,35,0.998872,Haplorhine
ABCB7,bsA1,bsA,41,1,Homo-Pan
ABCB7,bsA1,bsA,34,1,Primate
ABCB7,bsA1,bsA,39,1,Great Ape
ABCB7,bsA1,bsA,35,1,Haplorhine
ABCB8,bsA1,bsA,41,0.998046,Homo-Pan
ABCB8,bsA1,bsA,34,0.997743,Primate
ABCB8,bsA1,bsA,39,1,Great Ape
ABCB8,bsA1,bsA,35,0.984737,Haplorhine
ABCB9,bsA1,bsA,41,1,Homo-Pan
ABCB9,bsA1,bsA,34,1,Primate
ABCB9,bsA1,bsA,39,0.998872,Great Ape
ABCB9,bsA1,bsA,35,1,Haplorhine
ABCC1,bsA1,bsA,41,1,Homo-Pan
ABCC1,bsA1,bsA,34,1,Primate
ABCC1,bsA1,bsA,39,0.994707,Great Ape
ABCC1,bsA1,bsA,35,0.995082,Haplorhine
ABCC10,bsA1,bsA,41,1,Homo-Pan
ABCC10,bsA1,bsA,34,0.995932,Primate
ABCC10,bsA1,bsA,39,1,Great Ape
ABCC10,bsA1,bsA,35,1,Haplorhine
ABCC11,bsA1,bsA,41,0.747046,Homo-Pan
ABCC11,bsA1,bsA,34,1,Primate
ABCC11,bsA1,bsA,39,0.994358,Great Ape
ABCC11,bsA1,bsA,35,1,Haplorhine
ABCC12,bsA1,bsA,41,0.991407,Homo-Pan
ABCC12,bsA1,bsA,34,1,Primate
ABCC12,bsA1,bsA,39,1,Great Ape
ABCC12,bsA1,bsA,35,0.992864,Haplorhine
ABCC2,bsA1,bsA,41,1,Homo-Pan
ABCC2,bsA1,bsA,34,1,Primate
ABCC2,bsA1,bsA,39,1,Great Ape
ABCC2,bsA1,bsA,35,0.998872,Haplorhine
ABCC3,bsA1,bsA,41,0.997236,Homo-Pan
ABCC3,bsA1,bsA,34,0.996808,Primate
ABCC3,bsA1,bsA,39,0.807475,Great Ape
ABCC3,bsA1,bsA,35,1,Haplorhine
ABCC4,bsA1,bsA,41,0.998404,Homo-Pan
ABCC4,bsA1,bsA,34,1,Primate
ABCC4,bsA1,bsA,39,0.996615,Great Ape
ABCC4,bsA1,bsA,35,1,Haplorhine
ABCC5,bsA1,bsA,41,0.992687,Homo-Pan
ABCC5,bsA1,bsA,34,1,Primate
ABCC5,bsA1,bsA,39,1,Great Ape
ABCC5,bsA1,bsA,35,1,Haplorhine
ABCC6,bsA1,bsA,41,0.998872,Homo-Pan
ABCC6,bsA1,bsA,34,1,Primate
ABCC6,bsA1,bsA,39,1,Great Ape
ABCC6,bsA1,bsA,35,1,Haplorhine
ABCC8,bsA1,bsA,41,1,Homo-Pan
ABCC8,bsA1,bsA,34,0.998404,Primate
ABCC8,bsA1,bsA,39,1,Great Ape
ABCC8,bsA1,bsA,35,0.886991,Haplorhine
ABCC9,bsA1,bsA,40,1,Homo-Pan
ABCC9,bsA1,bsA,33,1,Primate
ABCC9,bsA1,bsA,38,1,Great Ape
ABCC9,bsA1,bsA,34,0.990903,Haplorhine
ABCD1,bsA1,bsA,41,1,Homo-Pan
ABCD1,bsA1,bsA,34,0.990833,Primate
ABCD1,bsA1,bsA,39,0.998404,Great Ape
ABCD1,bsA1,bsA,35,1,Haplorhine
ABCD2,bsA1,bsA,41,1,Homo-Pan
ABCD2,bsA1,bsA,34,1,Primate
ABCD2,bsA1,bsA,39,1,Great Ape
ABCD2,bsA1,bsA,35,1,Haplorhine
ABCF1,bsA1,bsA,41,0.997236,Homo-Pan
ABCF1,bsA1,bsA,34,0.997477,Primate
ABCF1,bsA1,bsA,39,1,Great Ape
ABCF1,bsA1,bsA,35,1,Haplorhine
ABHD10,bsA1,bsA,41,0.994829,Homo-Pan
ABHD10,bsA1,bsA,34,1,Primate
ABHD10,bsA1,bsA,39,1,Great Ape
ABHD10,bsA1,bsA,35,1,Haplorhine
ABHD13,bsA1,bsA,41,1,Homo-Pan
ABHD13,bsA1,bsA,34,1,Primate
ABHD13,bsA1,bsA,39,1,Great Ape
ABHD13,bsA1,bsA,35,1,Haplorhine
ABHD14A,bsA1,bsA,41,1,Homo-Pan
ABHD14A,bsA1,bsA,34,1,Primate
ABHD14A,bsA1,bsA,39,0.993136,Great Ape
ABHD14A,bsA1,bsA,35,0.992864,Haplorhine
ABHD14B,bsA1,bsA,41,1,Homo-Pan
ABHD14B,bsA1,bsA,34,1,Primate
ABHD14B,bsA1,bsA,39,1,Great Ape
ABHD14B,bsA1,bsA,35,1,Haplorhine
ABHD15,bsA1,bsA,41,1,Homo-Pan
ABHD15,bsA1,bsA,34,1,Primate
ABHD15,bsA1,bsA,39,1,Great Ape
ABHD15,bsA1,bsA,35,1,Haplorhine
ABHD16A,bsA1,bsA,41,1,Homo-Pan
ABHD16A,bsA1,bsA,34,1,Primate
ABHD16A,bsA1,bsA,39,1,Great Ape
ABHD16A,bsA1,bsA,35,0.998872,Haplorhine
ABHD16B,bsA1,bsA,41,1,Homo-Pan
ABHD16B,bsA1,bsA,34,0.994707,Primate
ABHD16B,bsA1,bsA,39,1,Great Ape
ABHD16B,bsA1,bsA,35,0.998872,Haplorhine
ABHD17A,bsA1,bsA,39,1,Homo-Pan
ABHD17A,bsA1,bsA,32,0.215565,Primate
ABHD17A,bsA1,bsA,37,1,Great Ape
ABHD17A,bsA1,bsA,33,1,Haplorhine
ABHD17C,bsA1,bsA,40,1,Homo-Pan
ABHD17C,bsA1,bsA,33,1,Primate
ABHD17C,bsA1,bsA,38,1,Great Ape
ABHD17C,bsA1,bsA,34,1,Haplorhine
ABHD18,bsA1,bsA,41,1,Homo-Pan
ABHD18,bsA1,bsA,34,0.998872,Primate
ABHD18,bsA1,bsA,39,0.388594,Great Ape
ABHD18,bsA1,bsA,35,1,Haplorhine
ABHD2,bsA1,bsA,41,1,Homo-Pan
ABHD2,bsA1,bsA,34,1,Primate
ABHD2,bsA1,bsA,39,1,Great Ape
ABHD2,bsA1,bsA,35,1,Haplorhine
ABHD4,bsA1,bsA,41,1,Homo-Pan
ABHD4,bsA1,bsA,34,0.994358,Primate
ABHD4,bsA1,bsA,39,1,Great Ape
ABHD4,bsA1,bsA,35,0.772638,Haplorhine
ABHD6,bsA1,bsA,41,1,Homo-Pan
ABHD6,bsA1,bsA,34,1,Primate
ABHD6,bsA1,bsA,39,1,Great Ape
ABHD6,bsA1,bsA,35,1,Haplorhine
ABHD8,bsA1,bsA,39,1,Homo-Pan
ABHD8,bsA1,bsA,32,1,Primate
ABHD8,bsA1,bsA,37,0.998872,Great Ape
ABHD8,bsA1,bsA,33,1,Haplorhine
ABI1,bsA1,bsA,41,1,Homo-Pan
ABI1,bsA1,bsA,34,1,Primate
ABI1,bsA1,bsA,39,1,Great Ape
ABI1,bsA1,bsA,35,0.998872,Haplorhine
ABI2,bsA1,bsA,41,1,Homo-Pan
ABI2,bsA1,bsA,34,0.975231,Primate
ABI2,bsA1,bsA,39,1,Great Ape
ABI2,bsA1,bsA,35,1,Haplorhine
ABI3,bsA1,bsA,41,0.997015,Homo-Pan
ABI3,bsA1,bsA,34,1,Primate
ABI3,bsA1,bsA,39,1,Great Ape
ABI3,bsA1,bsA,35,1,Haplorhine
ABI3BP,bsA1,bsA,41,1,Homo-Pan
ABI3BP,bsA1,bsA,34,0.995932,Primate
ABI3BP,bsA1,bsA,39,0.998046,Great Ape
ABI3BP,bsA1,bsA,35,0.602884,Haplorhine
ABITRAM,bsA1,bsA,41,0.997236,Homo-Pan
ABITRAM,bsA1,bsA,34,1,Primate
ABITRAM,bsA1,bsA,39,1,Great Ape
ABITRAM,bsA1,bsA,35,1,Haplorhine
ABL1,bsA1,bsA,41,1,Homo-Pan
ABL1,bsA1,bsA,34,0.996615,Primate
ABL1,bsA1,bsA,39,1,Great Ape
ABL1,bsA1,bsA,35,1,Haplorhine
ABL2,bsA1,bsA,41,1,Homo-Pan
ABL2,bsA1,bsA,34,0.993518,Primate
ABL2,bsA1,bsA,39,0.993136,Great Ape
ABL2,bsA1,bsA,35,1,Haplorhine
ABLIM1,bsA1,bsA,41,1,Homo-Pan
ABLIM1,bsA1,bsA,34,1,Primate
ABLIM1,bsA1,bsA,39,0.93053,Great Ape
ABLIM1,bsA1,bsA,35,0.997477,Haplorhine
ABLIM2,bsA1,bsA,41,1,Homo-Pan
ABLIM2,bsA1,bsA,34,1,Primate
ABLIM2,bsA1,bsA,39,1,Great Ape
ABLIM2,bsA1,bsA,35,1,Haplorhine
ABLIM3,bsA1,bsA,41,1,Homo-Pan
ABLIM3,bsA1,bsA,34,0.998872,Primate
ABLIM3,bsA1,bsA,39,1,Great Ape
ABLIM3,bsA1,bsA,35,0.92783,Haplorhine
ABO,bsA1,bsA,25,0.112675,Primate
ABO,bsA1,bsA,32,1,Homo-Pan
ABO,bsA1,bsA,30,1,Great Ape
ABO,bsA1,bsA,26,1,Haplorhine
ABR,bsA1,bsA,41,1,Homo-Pan
ABR,bsA1,bsA,34,0.99126,Primate
ABR,bsA1,bsA,39,1,Great Ape
ABR,bsA1,bsA,35,0.998872,Haplorhine
ABRA,bsA1,bsA,41,1,Homo-Pan
ABRA,bsA1,bsA,34,1,Primate
ABRA,bsA1,bsA,39,1,Great Ape
ABRA,bsA1,bsA,35,1,Haplorhine
ABRACL,bsA1,bsA,41,1,Homo-Pan
ABRACL,bsA1,bsA,34,0.996258,Primate
ABRACL,bsA1,bsA,39,1,Great Ape
ABRACL,bsA1,bsA,35,1,Haplorhine
ABRAXAS1,bsA1,bsA,41,1,Homo-Pan
ABRAXAS1,bsA1,bsA,34,0.923067,Primate
ABRAXAS1,bsA1,bsA,39,1,Great Ape
ABRAXAS1,bsA1,bsA,35,1,Haplorhine
ABRAXAS2,bsA1,bsA,41,1,Homo-Pan
ABRAXAS2,bsA1,bsA,34,1,Primate
ABRAXAS2,bsA1,bsA,39,1,Great Ape
ABRAXAS2,bsA1,bsA,35,1,Haplorhine
ABT1,bsA1,bsA,41,1,Homo-Pan
ABT1,bsA1,bsA,34,1,Primate
ABT1,bsA1,bsA,39,1,Great Ape
ABT1,bsA1,bsA,35,0.995082,Haplorhine
ABTB1,bsA1,bsA,32,1,Primate
ABTB1,bsA1,bsA,39,1,Homo-Pan
ABTB1,bsA1,bsA,37,1,Great Ape
ABTB1,bsA1,bsA,33,1,Haplorhine
ABTB2,bsA1,bsA,41,1,Homo-Pan
ABTB2,bsA1,bsA,34,1,Primate
ABTB2,bsA1,bsA,39,0.996615,Great Ape
ABTB2,bsA1,bsA,35,0.880004,Haplorhine
ACAA1,bsA1,bsA,41,0.998872,Homo-Pan
ACAA1,bsA1,bsA,34,1,Primate
ACAA1,bsA1,bsA,39,1,Great Ape
ACAA1,bsA1,bsA,35,1,Haplorhine
ACAA2,bsA1,bsA,41,1,Homo-Pan
ACAA2,bsA1,bsA,34,0.998872,Primate
ACAA2,bsA1,bsA,39,1,Great Ape
ACAA2,bsA1,bsA,35,1,Haplorhine
ACACA,bsA1,bsA,41,0.54305,Homo-Pan
ACACA,bsA1,bsA,34,0.993044,Primate
ACACA,bsA1,bsA,39,1,Great Ape
ACACA,bsA1,bsA,35,0.982777,Haplorhine
ACACB,bsA1,bsA,41,1,Homo-Pan
ACACB,bsA1,bsA,34,0.995778,Primate
ACACB,bsA1,bsA,39,1,Great Ape
ACACB,bsA1,bsA,35,0.979566,Haplorhine
ACAD10,bsA1,bsA,41,1,Homo-Pan
ACAD10,bsA1,bsA,34,1,Primate
ACAD10,bsA1,bsA,39,1,Great Ape
ACAD10,bsA1,bsA,35,1,Haplorhine
ACAD11,bsA1,bsA,41,1,Homo-Pan
ACAD11,bsA1,bsA,34,0.817741,Primate
ACAD11,bsA1,bsA,39,0.996808,Great Ape
ACAD11,bsA1,bsA,35,1,Haplorhine
ACAD8,bsA1,bsA,41,1,Homo-Pan
ACAD8,bsA1,bsA,34,1,Primate
ACAD8,bsA1,bsA,39,1,Great Ape
ACAD8,bsA1,bsA,35,0.995213,Haplorhine
ACAD9,bsA1,bsA,32,0.661837,Primate
ACAD9,bsA1,bsA,39,0.997743,Homo-Pan
ACAD9,bsA1,bsA,37,0.998872,Great Ape
ACAD9,bsA1,bsA,33,1,Haplorhine
ACADL,bsA1,bsA,41,0.278853,Homo-Pan
ACADL,bsA1,bsA,34,1,Primate
ACADL,bsA1,bsA,39,1,Great Ape
ACADL,bsA1,bsA,35,1,Haplorhine
ACADM,bsA1,bsA,41,1,Homo-Pan
ACADM,bsA1,bsA,34,1,Primate
ACADM,bsA1,bsA,39,0.510435,Great Ape
ACADM,bsA1,bsA,35,0.998872,Haplorhine
ACADS,bsA1,bsA,41,0.998872,Homo-Pan
ACADS,bsA1,bsA,34,1,Primate
ACADS,bsA1,bsA,39,0.998872,Great Ape
ACADS,bsA1,bsA,35,1,Haplorhine
ACADSB,bsA1,bsA,41,1,Homo-Pan
ACADSB,bsA1,bsA,34,1,Primate
ACADSB,bsA1,bsA,39,1,Great Ape
ACADSB,bsA1,bsA,35,0.998872,Haplorhine
ACADVL,bsA1,bsA,41,1,Homo-Pan
ACADVL,bsA1,bsA,34,0.998404,Primate
ACADVL,bsA1,bsA,39,0.998872,Great Ape
ACADVL,bsA1,bsA,35,0.998872,Haplorhine
ACAN,bsA1,bsA,41,0.997236,Homo-Pan
ACAN,bsA1,bsA,34,1,Primate
ACAN,bsA1,bsA,39,0.133199,Great Ape
ACAN,bsA1,bsA,35,0.010051,Haplorhine
ACAP1,bsA1,bsA,41,1,Homo-Pan
ACAP1,bsA1,bsA,34,1,Primate
ACAP1,bsA1,bsA,39,0.998046,Great Ape
ACAP1,bsA1,bsA,35,0.997743,Haplorhine
ACAP2,bsA1,bsA,41,1,Homo-Pan
ACAP2,bsA1,bsA,34,0.997015,Primate
ACAP2,bsA1,bsA,39,1,Great Ape
ACAP2,bsA1,bsA,35,1,Haplorhine
ACAP3,bsA1,bsA,41,1,Homo-Pan
ACAP3,bsA1,bsA,34,1,Primate
ACAP3,bsA1,bsA,39,1,Great Ape
ACAP3,bsA1,bsA,35,0.994246,Haplorhine
ACAT1,bsA1,bsA,41,1,Homo-Pan
ACAT1,bsA1,bsA,34,1,Primate
ACAT1,bsA1,bsA,39,1,Great Ape
ACAT1,bsA1,bsA,35,1,Haplorhine
ACAT2,bsA1,bsA,41,0.998872,Homo-Pan
ACAT2,bsA1,bsA,34,0.998872,Primate
ACAT2,bsA1,bsA,39,0.17235,Great Ape
ACAT2,bsA1,bsA,35,1,Haplorhine
ACBD3,bsA1,bsA,39,1,Homo-Pan
ACBD3,bsA1,bsA,32,1,Primate
ACBD3,bsA1,bsA,37,1,Great Ape
ACBD3,bsA1,bsA,33,1,Haplorhine
ACBD4,bsA1,bsA,41,0.457021,Homo-Pan
ACBD4,bsA1,bsA,34,0.985953,Primate
ACBD4,bsA1,bsA,39,1,Great Ape
ACBD4,bsA1,bsA,35,1,Haplorhine
ACBD5,bsA1,bsA,41,1,Homo-Pan
ACBD5,bsA1,bsA,34,0.437451,Primate
ACBD5,bsA1,bsA,39,0.998872,Great Ape
ACBD5,bsA1,bsA,35,1,Haplorhine
ACBD6,bsA1,bsA,41,1,Homo-Pan
ACBD6,bsA1,bsA,34,1,Primate
ACBD6,bsA1,bsA,39,1,Great Ape
ACBD6,bsA1,bsA,35,1,Haplorhine
ACBD7,bsA1,bsA,40,0.053128,Homo-Pan
ACBD7,bsA1,bsA,33,0.031627,Primate
ACBD7,bsA1,bsA,38,1,Great Ape
ACBD7,bsA1,bsA,34,0.995082,Haplorhine
ACCS,bsA1,bsA,41,1,Homo-Pan
ACCS,bsA1,bsA,34,0.026066,Primate
ACCS,bsA1,bsA,39,1,Great Ape
ACCS,bsA1,bsA,35,1,Haplorhine
ACCSL,bsA1,bsA,41,1,Homo-Pan
ACCSL,bsA1,bsA,34,0.664928,Primate
ACCSL,bsA1,bsA,39,1,Great Ape
ACCSL,bsA1,bsA,35,0.998872,Haplorhine
ACD,bsA1,bsA,41,1,Homo-Pan
ACD,bsA1,bsA,34,1,Primate
ACD,bsA1,bsA,39,0.68968,Great Ape
ACD,bsA1,bsA,35,1,Haplorhine
ACE,bsA1,bsA,41,1,Homo-Pan
ACE,bsA1,bsA,34,1,Primate
ACE,bsA1,bsA,39,1,Great Ape
ACE,bsA1,bsA,35,0.016053,Haplorhine
ACE2,bsA1,bsA,41,1,Homo-Pan
ACE2,bsA1,bsA,34,0.998046,Primate
ACE2,bsA1,bsA,39,1,Great Ape
ACE2,bsA1,bsA,35,0.000289,Haplorhine
ACER1,bsA1,bsA,41,1,Homo-Pan
ACER1,bsA1,bsA,34,1,Primate
ACER1,bsA1,bsA,39,0.989659,Great Ape
ACER1,bsA1,bsA,35,1,Haplorhine
ACER2,bsA1,bsA,41,1,Homo-Pan
ACER2,bsA1,bsA,34,1,Primate
ACER2,bsA1,bsA,39,0.190429,Great Ape
ACER2,bsA1,bsA,35,0.838212,Haplorhine
ACER3,bsA1,bsA,41,1,Homo-Pan
ACER3,bsA1,bsA,34,1,Primate
ACER3,bsA1,bsA,39,1,Great Ape
ACER3,bsA1,bsA,35,0.006769,Haplorhine
ACHE,bsA1,bsA,41,0.998872,Homo-Pan
ACHE,bsA1,bsA,34,0.996432,Primate
ACHE,bsA1,bsA,39,0.997477,Great Ape
ACHE,bsA1,bsA,35,1,Haplorhine
ACIN1,bsA1,bsA,41,0.994829,Homo-Pan
ACIN1,bsA1,bsA,34,1,Primate
ACIN1,bsA1,bsA,39,0.998872,Great Ape
ACIN1,bsA1,bsA,35,0.902342,Haplorhine
ACKR1,bsA1,bsA,41,1,Homo-Pan
ACKR1,bsA1,bsA,34,0.332652,Primate
ACKR1,bsA1,bsA,39,1,Great Ape
ACKR1,bsA1,bsA,35,0.435438,Haplorhine
ACKR2,bsA1,bsA,40,1,Homo-Pan
ACKR2,bsA1,bsA,33,0.989597,Primate
ACKR2,bsA1,bsA,38,1,Great Ape
ACKR2,bsA1,bsA,34,1,Haplorhine
ACKR3,bsA1,bsA,41,1,Homo-Pan
ACKR3,bsA1,bsA,34,0.654284,Primate
ACKR3,bsA1,bsA,39,1,Great Ape
ACKR3,bsA1,bsA,35,1,Haplorhine
ACKR4,bsA1,bsA,41,1,Homo-Pan
ACKR4,bsA1,bsA,34,1,Primate
