gene,branch,p
ABCF1,Human,1
ABCF2,Haplorhine,1
ABCF2,Primate,1
ABCF2,Great Ape,1
ABCF2,Human,1
ABCF3,Homo-Pan,1
ABCF3,Haplorhine,1
ABCF3,Primate,1
ABCF3,Great Ape,1
ABCF3,Human,1
ABCG1,Homo-Pan,1
ABCG1,Haplorhine,1
ABCG1,Primate,1
ABCG1,Great Ape,1
ABCG1,Human,1
ABCG2,Homo-Pan,1
ABCG2,Haplorhine,1
ABCG2,Primate,1
ABCG2,Great Ape,1
ABCG2,Human,1
ABCG4,Haplorhine,1
ABCG4,Primate,1
ABCG4,Great Ape,1
ABCG4,Human,1
ABCG5,Homo-Pan,1
ABCG5,Haplorhine,1
ABCG5,Primate,1
ABCG5,Great Ape,1
ABCG5,Human,1
ABCG8,Homo-Pan,1
ABCG8,Haplorhine,1
ABCG8,Primate,1
ABCG8,Great Ape,1
ABCG8,Human,1
ABHD1,Homo-Pan,1
ABHD1,Haplorhine,1
ABHD1,Primate,1
ABHD1,Great Ape,0.275898193
ABHD1,Human,0.066546434
ABHD10,Haplorhine,1
ABHD10,Primate,1
ABHD10,Great Ape,1
ABHD10,Human,1
ABHD11,Homo-Pan,1
ABHD11,Haplorhine,0.238759982
ABHD11,Primate,1
ABHD11,Great Ape,1
ABHD11,Human,1
ABHD12,Homo-Pan,1
ABHD12,Haplorhine,1
ABHD12,Primate,1
ABHD12,Great Ape,1
ABHD12,Human,1
ABHD12B,Homo-Pan,1
ABHD12B,Haplorhine,1
ABHD12B,Primate,1
ABHD12B,Great Ape,1
ABHD12B,Human,1
ABHD13,Haplorhine,1
ABHD13,Primate,1
ABHD13,Great Ape,1
ABHD13,Human,1
ABHD14A,Primate,1
ABHD14A,Human,1
ABHD14B,Haplorhine,1
ABHD14B,Primate,1
ABHD14B,Human,0.22002203
ABHD15,Haplorhine,0.47619877
ABHD15,Primate,1
ABHD15,Great Ape,1
ABHD15,Human,1
ABHD16A,Homo-Pan,1
ABHD16A,Haplorhine,1
ABHD16A,Primate,1
ABHD16A,Great Ape,0.320310787
ABHD16A,Human,1
ABHD16B,Homo-Pan,1
ABHD16B,Haplorhine,0.438053815
ABHD16B,Primate,1
ABHD16B,Great Ape,0.38277983
ABHD16B,Human,0.46292667
ABHD17A,Primate,1
ABHD17A,Haplorhine,1
ABHD17A,Great Ape,1
ABHD17A,Human,1
ABHD17B,Haplorhine,1
ABHD17B,Primate,1
ABHD17B,Great Ape,1
ABHD17B,Human,1
ABHD17C,Homo-Pan,1
ABHD17C,Primate,1
ABHD17C,Haplorhine,1
ABHD17C,Great Ape,1
ABHD17C,Human,1
ABHD18,Haplorhine,0.44368712
ABHD18,Primate,1
ABHD18,Great Ape,1
ABHD18,Human,0.217345382
ABHD2,Homo-Pan,1
ABHD2,Haplorhine,1
ABHD2,Primate,1
ABHD2,Great Ape,1
ABHD2,Human,1
ABHD3,Homo-Pan,0.301028496
ABHD3,Haplorhine,1
ABHD3,Primate,1
ABHD3,Great Ape,1
ABHD3,Human,1
ABHD4,Haplorhine,0.376931494
ABHD4,Primate,1
ABHD4,Great Ape,1
ABHD4,Human,1
ABHD5,Haplorhine,1
ABHD5,Primate,1
ABHD5,Great Ape,1
ABHD5,Human,0.299463805
ABHD6,Haplorhine,1
ABHD6,Primate,1
ABHD6,Great Ape,1
ABHD6,Human,1
ABHD8,Primate,1
ABHD8,Haplorhine,1
ABHD8,Great Ape,0.5
ABHD8,Human,1
ABI1,Haplorhine,1
ABI1,Primate,1
ABI1,Human,1
ABI2,Homo-Pan,1
ABI2,Haplorhine,1
ABI2,Primate,1
ABI2,Great Ape,1
ABI2,Human,1
ABI3,Haplorhine,1
ABI3,Primate,1
ABI3,Great Ape,1
ABI3,Human,1
ABI3BP,Homo-Pan,1
ABI3BP,Haplorhine,1
ABI3BP,Primate,1
ABI3BP,Great Ape,1
ABI3BP,Human,1
ABITRAM,Primate,1
ABITRAM,Human,1
ABL1,Homo-Pan,1
ABL1,Haplorhine,1
ABL1,Primate,1
ABL1,Great Ape,1
ABL1,Human,1
ABL2,Homo-Pan,1
ABL2,Haplorhine,1
ABL2,Primate,1
ABL2,Great Ape,1
ABL2,Human,1
ABLIM1,Homo-Pan,0.000624883
ABLIM1,Haplorhine,1
ABLIM1,Primate,1
ABLIM1,Great Ape,0.491139015
ABLIM1,Human,1
ABLIM2,Homo-Pan,1
ABLIM2,Haplorhine,1
ABLIM2,Primate,1
ABLIM2,Great Ape,1
ABLIM2,Human,1
ABLIM3,Homo-Pan,1
ABLIM3,Haplorhine,1
ABLIM3,Primate,1
ABLIM3,Great Ape,1
ABLIM3,Human,0.315334975
ABR,Homo-Pan,1
ABR,Haplorhine,1
ABR,Primate,1
ABR,Great Ape,1
ABR,Human,1
ABRA,Homo-Pan,0.338342751
ABRA,Haplorhine,0.396877232
ABRA,Primate,1
ABRA,Great Ape,1
ABRA,Human,0.135535308
ABRACL,Great Ape,1
ABRACL,Human,1
ABRAXAS1,Homo-Pan,1
ABRAXAS1,Haplorhine,0.5
ABRAXAS1,Primate,1
ABRAXAS1,Human,1
ABRAXAS2,Homo-Pan,1
ABRAXAS2,Haplorhine,1
ABRAXAS2,Primate,1
ABRAXAS2,Human,1
ABT1,Haplorhine,1
ABT1,Primate,1
ABT1,Human,1
ABTB1,Homo-Pan,1
ABTB1,Primate,1
ABTB1,Haplorhine,1
ABTB1,Great Ape,1
ABTB1,Human,1
ABTB2,Homo-Pan,1
ABTB2,Haplorhine,0.452268789
ABTB2,Primate,1
ABTB2,Great Ape,1
ABTB2,Human,1
ACAA1,Haplorhine,1
ACAA1,Primate,1
ACAA1,Great Ape,1
ACAA1,Human,1
ACAA2,Haplorhine,0.482069882
ACAA2,Primate,1
ACAA2,Great Ape,1
ACAA2,Human,1
ACACA,Homo-Pan,1
ACACA,Haplorhine,1
ACACA,Primate,1
ACACA,Great Ape,1
ACACA,Human,1
ACACB,Homo-Pan,1
ACACB,Haplorhine,1
ACACB,Primate,1
ACACB,Great Ape,1
ACACB,Human,1
ACAD10,Haplorhine,1
ACAD10,Primate,1
ACAD10,Great Ape,1
ACAD10,Human,1
ACAD11,Homo-Pan,0.301990196
ACAD11,Haplorhine,1
ACAD11,Primate,1
ACAD11,Great Ape,0.225918996
ACAD11,Human,1
ACAD8,Homo-Pan,1
ACAD8,Haplorhine,1
ACAD8,Primate,1
ACAD8,Great Ape,1
ACAD8,Human,0.22062915
ACAD9,Homo-Pan,0.023356147
ACAD9,Primate,1
ACAD9,Haplorhine,1
ACAD9,Great Ape,1
ACAD9,Human,1
ACADL,Homo-Pan,0.212882388
ACADL,Haplorhine,1
ACADL,Primate,1
ACADL,Human,1
ACADM,Homo-Pan,1
ACADM,Haplorhine,1
ACADM,Primate,1
ACADM,Great Ape,0.331430635
ACADM,Human,1
ACADS,Homo-Pan,1
ACADS,Haplorhine,0.427792481
ACADS,Primate,1
ACADS,Great Ape,1
ACADS,Human,1
ACADSB,Haplorhine,1
ACADSB,Primate,1
ACADSB,Human,1
ACADVL,Haplorhine,1
ACADVL,Primate,1
ACADVL,Great Ape,1
ACADVL,Human,1
ACAN,Homo-Pan,1
ACAN,Haplorhine,0.369316126
ACAN,Primate,1
ACAN,Great Ape,0.380680302
ACAN,Human,1
ACAP1,Haplorhine,1
ACAP1,Primate,1
ACAP1,Great Ape,1
ACAP1,Human,1
ACAP2,Haplorhine,1
ACAP2,Primate,1
ACAP2,Great Ape,1
ACAP2,Human,1
ACAP3,Homo-Pan,1
ACAP3,Haplorhine,1
ACAP3,Primate,1
ACAP3,Great Ape,1
ACAP3,Human,1
ACAT1,Haplorhine,1
ACAT1,Primate,1
ACAT1,Great Ape,0.31770058
ACAT1,Human,1
ACAT2,Homo-Pan,1
ACAT2,Haplorhine,1
ACAT2,Primate,1
ACAT2,Great Ape,0.162004479
ACAT2,Human,1
ACBD3,Primate,0.5
ACBD3,Haplorhine,1
ACBD3,Great Ape,1
ACBD3,Homo-Pan,1
ACBD3,Human,1
ACBD4,Great Ape,0.305341835
ACBD4,Haplorhine,1
ACBD4,Primate,1
ACBD4,Great Ape,1
ACBD4,Human,1
ACBD5,Homo-Pan,0.213249791
ACBD5,Haplorhine,1
ACBD5,Primate,1
ACBD5,Great Ape,1
ACBD5,Human,1
ACBD6,Haplorhine,1
ACBD6,Primate,1
ACBD6,Human,1
ACBD7,Primate,1
ACBD7,Primate,1
ACBD7,Human,1
ACCS,Haplorhine,1
ACCS,Primate,1
ACCS,Great Ape,1
ACCS,Human,1
ACCSL,Homo-Pan,1
ACCSL,Haplorhine,1
ACCSL,Primate,1
ACCSL,Great Ape,1
ACCSL,Human,1
ACD,Homo-Pan,1
ACD,Haplorhine,1
ACD,Primate,1
ACD,Great Ape,0.226789576
ACD,Human,1
ACE,Homo-Pan,1
ACE,Haplorhine,0.403577927
ACE,Primate,1
ACE,Great Ape,1
ACE,Human,1
ACE2,Homo-Pan,0.319081527
ACE2,Haplorhine,0.097476938
ACE2,Primate,1
ACE2,Great Ape,1
ACE2,Human,1
ACER1,Haplorhine,1
ACER1,Primate,1
ACER1,Human,1
ACER2,Homo-Pan,1
ACER2,Haplorhine,1
ACER2,Primate,1
ACER2,Great Ape,0.176517022
ACER2,Human,1
ACER3,Haplorhine,1
ACER3,Primate,1
ACER3,Human,1
ACHE,Homo-Pan,1
ACHE,Haplorhine,1
ACHE,Primate,1
ACHE,Great Ape,1
ACHE,Human,1
ACIN1,Homo-Pan,1
ACIN1,Haplorhine,1
ACIN1,Primate,1
ACIN1,Great Ape,0.304998069
ACIN1,Human,0.155367749
ACKR1,Homo-Pan,1
ACKR1,Haplorhine,1
ACKR1,Primate,1
ACKR1,Great Ape,1
ACKR1,Human,1
ACKR2,Homo-Pan,1
ACKR2,Primate,1
ACKR2,Haplorhine,1
ACKR2,Great Ape,1
ACKR2,Human,1
ACKR3,Homo-Pan,1
ACKR3,Haplorhine,1
ACKR3,Primate,1
ACKR3,Great Ape,1
ACKR3,Human,1
ACKR4,Haplorhine,1
ACKR4,Primate,1
ACKR4,Human,1
ACLY,Homo-Pan,1
ACLY,Haplorhine,1
ACLY,Primate,1
ACLY,Great Ape,1
ACLY,Human,1
ACMSD,Homo-Pan,1
ACMSD,Haplorhine,1
ACMSD,Primate,1
ACMSD,Great Ape,1
ACMSD,Human,1
ACO1,Haplorhine,0.458539572
ACO1,Primate,1
ACO1,Human,1
ACO2,Homo-Pan,1
ACO2,Haplorhine,1
ACO2,Primate,1
ACO2,Great Ape,1
ACO2,Human,1
ACOD1,Haplorhine,1
ACOD1,Primate,1
ACOD1,Great Ape,0.224658277
ACOD1,Human,0.092831177
ACOT11,Haplorhine,1
ACOT11,Primate,1
ACOT11,Great Ape,1
ACOT11,Human,1
ACOT12,Homo-Pan,1
ACOT12,Haplorhine,1
ACOT12,Primate,1
ACOT12,Great Ape,1
ACOT12,Human,1
ACOT13,Haplorhine,1
ACOT13,Primate,1
ACOT13,Great Ape,0.313643268
ACOT13,Human,1
ACOT4,Haplorhine,1
ACOT4,Primate,1
ACOT4,Great Ape,1
ACOT4,Human,1
ACOT6,Homo-Pan,1
ACOT6,Haplorhine,0.383643785
ACOT6,Primate,1
ACOT6,Great Ape,1
ACOT6,Human,1
ACOT7,Haplorhine,1
ACOT7,Primate,1
ACOT7,Great Ape,1
ACOT7,Human,1
ACOT8,Haplorhine,1
ACOT8,Primate,1
ACOT8,Human,0.309318808
ACOT9,Haplorhine,1
ACOT9,Primate,1
ACOT9,Great Ape,1
ACOT9,Human,1
ACOX1,Haplorhine,1
ACOX1,Primate,1
ACOX1,Great Ape,1
ACOX1,Human,1
ACOX2,Homo-Pan,1
ACOX2,Haplorhine,0.350332053
ACOX2,Primate,1
ACOX2,Great Ape,1
ACOX2,Human,1
ACOX3,Homo-Pan,0.096331107
ACOX3,Primate,1
ACOX3,Haplorhine,1
ACOX3,Great Ape,1
ACOX3,Human,1
ACOXL,Haplorhine,1
ACOXL,Primate,1
ACOXL,Great Ape,1
ACOXL,Human,1
ACP1,Primate,1
ACP1,Haplorhine,1
ACP1,Great Ape,0.5
ACP1,Human,1
ACP2,Homo-Pan,1
ACP2,Haplorhine,0.446770288
ACP2,Primate,1
ACP2,Human,1
ACP4,Homo-Pan,1
ACP4,Haplorhine,1
ACP4,Primate,1
ACP4,Great Ape,0.449134841
ACP4,Human,1
ACP5,Haplorhine,1
ACP5,Primate,1
ACP5,Great Ape,1
ACP5,Human,1
ACP6,Homo-Pan,1
ACP6,Haplorhine,1
ACP6,Primate,1
ACP6,Great Ape,0.268825445
ACP6,Human,1
ACP7,Homo-Pan,1
ACP7,Haplorhine,1
ACP7,Primate,1
ACP7,Great Ape,0.332348574
ACP7,Human,1
ACR,Homo-Pan,1
ACR,Haplorhine,0.461040266
ACR,Primate,1
ACR,Great Ape,0.204191927
ACR,Human,1
ACRBP,Homo-Pan,0.212505876
ACRBP,Haplorhine,0.411647842
ACRBP,Primate,1
ACRBP,Great Ape,1
ACRBP,Human,1
ACRV1,Homo-Pan,1
ACRV1,Haplorhine,1
ACRV1,Primate,1
ACRV1,Human,1
ACSBG1,Homo-Pan,1
ACSBG1,Haplorhine,1
ACSBG1,Primate,1
ACSBG1,Great Ape,1
ACSBG1,Human,1
ACSBG2,Homo-Pan,1
ACSBG2,Haplorhine,0.187560449
ACSBG2,Primate,1
ACSBG2,Great Ape,1
ACSBG2,Human,1
ACSF2,Homo-Pan,1
ACSF2,Haplorhine,1
ACSF2,Primate,1
ACSF2,Great Ape,0.103813959
ACSF2,Human,0.400308921
ACSF3,Primate,1
ACSF3,Haplorhine,1
ACSF3,Great Ape,1
ACSF3,Homo-Pan,1
ACSF3,Human,1
ACSL1,Haplorhine,1
ACSL1,Primate,1
ACSL1,Great Ape,1
ACSL1,Human,1
ACSL3,Homo-Pan,1
ACSL3,Haplorhine,1
ACSL3,Primate,1
ACSL3,Great Ape,1
ACSL3,Human,1
ACSL4,Homo-Pan,1
ACSL4,Haplorhine,1
ACSL4,Primate,1
ACSL4,Great Ape,1
ACSL4,Human,1
ACSL5,Homo-Pan,1
ACSL5,Haplorhine,1
ACSL5,Primate,1
ACSL5,Great Ape,1
ACSL5,Human,1
ACSL6,Haplorhine,1
ACSL6,Primate,1
ACSL6,Great Ape,1
ACSL6,Human,1
ACSM1,Homo-Pan,0.5
ACSM1,Primate,0.000154378
ACSM1,Haplorhine,1
ACSM1,Great Ape,1
ACSM1,Human,1
ACSM3,Homo-Pan,1
ACSM3,Haplorhine,1
ACSM3,Primate,1
ACSM3,Great Ape,1
ACSM3,Human,1
ACSM4,Homo-Pan,1
ACSM4,Primate,1
ACSM4,Haplorhine,0.051111131
ACSM4,Great Ape,0.5
ACSM4,Human,1.34839193379754e-05
ACSM5,Homo-Pan,1
ACSM5,Haplorhine,1
ACSM5,Primate,1
ACSM5,Great Ape,1
ACSM5,Human,1
ACSM6,Human,1
ACSS1,Homo-Pan,1
ACSS1,Haplorhine,1
ACSS1,Primate,1
ACSS1,Great Ape,0.445284176
ACSS1,Human,1
ACSS2,Homo-Pan,1
ACSS2,Haplorhine,1
ACSS2,Primate,1
ACSS2,Great Ape,1
ACSS2,Human,1
ACSS3,Homo-Pan,1
ACSS3,Haplorhine,1
ACSS3,Primate,1
ACSS3,Great Ape,1
ACSS3,Human,1
ACTA1,Primate,1
ACTA1,Primate,1
ACTA1,Human,1
ACTA2,Homo-Pan,1
ACTA2,Haplorhine,1
ACTA2,Primate,1
ACTA2,Great Ape,1
ACTA2,Human,1
ACTB,Primate,1
ACTB,Primate,1
ACTB,Primate,1
ACTB,Human,1
ACTBL2,Homo-Pan,1
ACTBL2,Primate,1
ACTBL2,Haplorhine,1
ACTBL2,Human,1
ACTC1,Haplorhine,1
ACTC1,Primate,1
ACTC1,Human,1
ACTG1,Primate,1
ACTG1,Haplorhine,1
ACTG1,Great Ape,1
ACTG1,Human,1
ACTG2,Haplorhine,1
ACTG2,Primate,1
ACTG2,Human,1
ACTL10,Haplorhine,1
ACTL10,Primate,0.407518309
ACTL10,Great Ape,0.364757724
ACTL10,Human,1
ACTL6A,Homo-Pan,1
ACTL6A,Haplorhine,1
ACTL6A,Primate,1
ACTL6A,Human,1
ACTL6B,Haplorhine,1
ACTL6B,Primate,1
ACTL6B,Great Ape,1
ACTL6B,Human,1
ACTL7A,Homo-Pan,0.346491051
ACTL7A,Haplorhine,0.43447358
ACTL7A,Primate,0.401587525
ACTL7A,Great Ape,1
ACTL7A,Human,1
ACTL7B,Homo-Pan,1
ACTL7B,Haplorhine,1
ACTL7B,Primate,1
ACTL7B,Great Ape,1
ACTL7B,Human,1
ACTL8,Homo-Pan,1
ACTL8,Haplorhine,0.361833256
ACTL8,Primate,1
ACTL8,Great Ape,1
ACTL8,Human,1
ACTN1,Haplorhine,1
ACTN1,Primate,1
ACTN1,Great Ape,1
ACTN1,Human,1
ACTN2,Homo-Pan,1
ACTN2,Haplorhine,1
ACTN2,Primate,1
ACTN2,Great Ape,1
ACTN2,Human,1
ACTN3,Homo-Pan,1
ACTN3,Haplorhine,0.490387702
ACTN3,Primate,1
ACTN3,Great Ape,1
ACTN3,Human,1
ACTN4,Homo-Pan,1
ACTN4,Haplorhine,1
ACTN4,Primate,1
ACTN4,Great Ape,1
ACTN4,Human,1
ACTR10,Haplorhine,1
ACTR10,Primate,1
ACTR10,Great Ape,1
ACTR10,Human,1
ACTR1A,Homo-Pan,1
ACTR1A,Haplorhine,1
ACTR1A,Primate,1
ACTR1A,Great Ape,1
ACTR1A,Human,1
ACTR1B,Homo-Pan,1
ACTR1B,Primate,1
ACTR1B,Haplorhine,1
ACTR1B,Great Ape,1
ACTR1B,Human,1
ACTR2,Primate,1
ACTR2,Human,1
ACTR3,Great Ape,1
ACTR3,Haplorhine,1
ACTR3,Primate,1
ACTR3,Great Ape,1
ACTR3,Human,1
ACTR3B,Haplorhine,1
ACTR3B,Primate,1
ACTR3B,Great Ape,1
ACTR3B,Human,1
ACTR5,Haplorhine,0.460777858
ACTR5,Primate,1
ACTR5,Human,1
ACTR6,Primate,1
ACTR6,Human,1
ACTR8,Haplorhine,1
ACTR8,Primate,1
ACTR8,Great Ape,1
ACTR8,Human,1
ACTRT1,Haplorhine,1
ACTRT1,Haplorhine,1
ACTRT1,Great Ape,1
ACTRT1,Homo-Pan,1
ACTRT1,Human,1
ACTRT2,Homo-Pan,0.415232571
ACTRT2,Haplorhine,1
ACTRT2,Primate,1
ACTRT2,Great Ape,0.457387344
ACTRT2,Human,1
ACTRT3,Haplorhine,0.430736061
ACTRT3,Primate,0.077324086
ACTRT3,Human,0.310387024
ACVR1,Haplorhine,1
ACVR1,Primate,1
ACVR1,Great Ape,1
ACVR1,Human,1
ACVR1B,Homo-Pan,1
ACVR1B,Haplorhine,1
ACVR1B,Primate,1
ACVR1B,Great Ape,1
ACVR1B,Human,1
ACVR1C,Homo-Pan,1
ACVR1C,Haplorhine,1
ACVR1C,Primate,1
ACVR1C,Human,1
ACVR2A,Haplorhine,1
ACVR2A,Primate,1
ACVR2A,Great Ape,1
ACVR2A,Human,1
ACVR2B,Haplorhine,1
ACVR2B,Primate,1
ACVR2B,Great Ape,1
ACVR2B,Human,1
ACVRL1,Homo-Pan,1
ACVRL1,Haplorhine,0.462305816
ACVRL1,Primate,1
ACVRL1,Great Ape,1
ACVRL1,Human,1
ACY1,Primate,1
ACY1,Human,1
ACY3,Homo-Pan,1
ACY3,Haplorhine,0.444149704
ACY3,Primate,1
ACY3,Great Ape,1
ACY3,Human,1
ACYP1,Primate,1
ACYP1,Primate,1
ACYP1,Human,1
ACYP2,Haplorhine,1
ACYP2,Primate,1
ACYP2,Human,1
ADA,Haplorhine,1
ADA,Primate,1
ADA,Great Ape,1
